"State","Jahr","Bevölkerung","Ausländer"
"Baar",1981,15101,2493
"Baar",1982,15251,2633
"Baar",1983,15081,2655
"Baar",1984,15229,2736
"Baar",1985,15335,2790
"Baar",1986,15481,2801
"Baar",1987,15775,2938
"Baar",1988,15891,3038
"Baar",1989,15878,3127
"Baar",1990,15960,3279
"Baar",1991,16038,3484
"Baar",1992,16191,3636
"Baar",1993,16427,3837
"Baar",1994,16619,3947
"Baar",1995,17053,4048
"Baar",1996,17415,4116
"Baar",1997,17638,4097
"Baar",1998,18425,4232
"Baar",1999,18751,4408
"Baar",2000,19166,4492
"Baar",2001,19485,4478
"Baar",2002,19857,4574
"Baar",2003,20232,4774
"Baar",2004,20534,4863
"Baar",2005,20843,4925
"Baar",2006,20936,5008
"Baar",2007,21319,5300
"Baar",2008,21524,5499
"Baar",2009,21586,5593
"Baar",2010,21709,5637
"Baar",2011,22125,5984
"Baar",2012,22355,6103
"Baar",2013,22576,6256
"Baar",2014,23228,6537
"Baar",2015,23561,6810
"Baar",2016,24129,7060
"Cham",1981,9359,1302
"Cham",1982,9362,1322
"Cham",1983,9480,1271
"Cham",1984,9575,1252
"Cham",1985,9835,1289
"Cham",1986,10075,1308
"Cham",1987,10248,1358
"Cham",1988,10355,1380
"Cham",1989,10650,1443
"Cham",1990,10846,1497
"Cham",1991,11091,1682
"Cham",1992,11394,1799
"Cham",1993,11683,1922
"Cham",1994,11864,2057
"Cham",1995,12054,2102
"Cham",1996,12148,2102
"Cham",1997,12267,2150
"Cham",1998,12737,2142
"Cham",1999,12926,2183
"Cham",2000,13145,2313
"Cham",2001,13253,2349
"Cham",2002,13300,2413
"Cham",2003,13408,2516
"Cham",2004,13580,2557
"Cham",2005,13791,2643
"Cham",2006,13730,2580
"Cham",2007,13981,2746
"Cham",2008,14259,2948
"Cham",2009,14552,3030
"Cham",2010,14776,3125
"Cham",2011,14976,3321
"Cham",2012,15020,3345
"Cham",2013,15375,3571
"Cham",2014,15523,3693
"Cham",2015,15954,3927
"Cham",2016,16216,4082
"Hünenberg",1981,4222,376
"Hünenberg",1982,4327,412
"Hünenberg",1983,4553,406
"Hünenberg",1984,4817,409
"Hünenberg",1985,5082,441
"Hünenberg",1986,5249,451
"Hünenberg",1987,5416,460
"Hünenberg",1988,5424,429
"Hünenberg",1989,5505,408
"Hünenberg",1990,5558,431
"Hünenberg",1991,5879,460
"Hünenberg",1992,6022,492
"Hünenberg",1993,6182,550
"Hünenberg",1994,6273,614
"Hünenberg",1995,6382,618
"Hünenberg",1996,6583,612
"Hünenberg",1997,6825,656
"Hünenberg",1998,6879,693
"Hünenberg",1999,6973,700
"Hünenberg",2000,7107,695
"Hünenberg",2001,7315,730
"Hünenberg",2002,7513,770
"Hünenberg",2003,7765,823
"Hünenberg",2004,8001,859
"Hünenberg",2005,8098,881
"Hünenberg",2006,8121,899
"Hünenberg",2007,8263,1000
"Hünenberg",2008,8301,1068
"Hünenberg",2009,8299,1098
"Hünenberg",2010,8512,1188
"Hünenberg",2011,8795,1293
"Hünenberg",2012,8804,1358
"Hünenberg",2013,8802,1432
"Hünenberg",2014,8841,1455
"Hünenberg",2015,8848,1478
"Hünenberg",2016,8827,1497
"Menzingen",1981,3515,214
"Menzingen",1982,3559,224
"Menzingen",1983,3545,213
"Menzingen",1984,3544,202
"Menzingen",1985,3611,196
"Menzingen",1986,3675,202
"Menzingen",1987,3823,225
"Menzingen",1988,3948,247
"Menzingen",1989,3957,279
"Menzingen",1990,4003,302
"Menzingen",1991,3917,318
"Menzingen",1992,4005,391
"Menzingen",1993,4061,422
"Menzingen",1994,4169,488
"Menzingen",1995,4239,521
"Menzingen",1996,4252,514
"Menzingen",1997,4357,552
"Menzingen",1998,4419,562
"Menzingen",1999,4399,562
"Menzingen",2000,4440,585
"Menzingen",2001,4375,635
"Menzingen",2002,4356,624
"Menzingen",2003,4356,619
"Menzingen",2004,4318,617
"Menzingen",2005,4340,642
"Menzingen",2006,4282,675
"Menzingen",2007,4289,690
"Menzingen",2008,4369,730
"Menzingen",2009,4330,714
"Menzingen",2010,4361,746
"Menzingen",2011,4382,803
"Menzingen",2012,4335,755
"Menzingen",2013,4329,796
"Menzingen",2014,4380,828
"Menzingen",2015,4439,860
"Menzingen",2016,4467,857
"Neuheim",1981,1035,52
"Neuheim",1982,1171,73
"Neuheim",1983,1278,87
"Neuheim",1984,1348,83
"Neuheim",1985,1375,88
"Neuheim",1986,1402,87
"Neuheim",1987,1429,98
"Neuheim",1988,1443,115
"Neuheim",1989,1485,137
"Neuheim",1990,1529,157
"Neuheim",1991,1608,166
"Neuheim",1992,1676,190
"Neuheim",1993,1750,244
"Neuheim",1994,1771,255
"Neuheim",1995,1788,253
"Neuheim",1996,1841,282
"Neuheim",1997,1871,277
"Neuheim",1998,1884,277
"Neuheim",1999,1927,287
"Neuheim",2000,1963,312
"Neuheim",2001,2006,341
"Neuheim",2002,1996,346
"Neuheim",2003,2002,349
"Neuheim",2004,2001,356
"Neuheim",2005,1979,356
"Neuheim",2006,1940,332
"Neuheim",2007,1940,336
"Neuheim",2008,1970,362
"Neuheim",2009,1952,346
"Neuheim",2010,1948,350
"Neuheim",2011,1969,374
"Neuheim",2012,2006,394
"Neuheim",2013,2024,419
"Neuheim",2014,2018,427
"Neuheim",2015,2154,470
"Neuheim",2016,2219,508
"Oberägeri",1981,3556,293
"Oberägeri",1982,3564,291
"Oberägeri",1983,3617,291
"Oberägeri",1984,3647,267
"Oberägeri",1985,3637,241
"Oberägeri",1986,3721,250
"Oberägeri",1987,3763,262
"Oberägeri",1988,3818,273
"Oberägeri",1989,3887,289
"Oberägeri",1990,4000,337
"Oberägeri",1991,4088,354
"Oberägeri",1992,4243,405
"Oberägeri",1993,4293,412
"Oberägeri",1994,4383,432
"Oberägeri",1995,4493,460
"Oberägeri",1996,4579,476
"Oberägeri",1997,4703,490
"Oberägeri",1998,4569,525
"Oberägeri",1999,4573,524
"Oberägeri",2000,4708,626
"Oberägeri",2001,4779,668
"Oberägeri",2002,4916,703
"Oberägeri",2003,4927,727
"Oberägeri",2004,5001,791
"Oberägeri",2005,5056,833
"Oberägeri",2006,5203,921
"Oberägeri",2007,5365,1058
"Oberägeri",2008,5356,1118
"Oberägeri",2009,5363,1138
"Oberägeri",2010,5427,1150
"Oberägeri",2011,5592,1255
"Oberägeri",2012,5653,1308
"Oberägeri",2013,5828,1419
"Oberägeri",2014,5950,1506
"Oberägeri",2015,5940,1578
"Oberägeri",2016,5994,1594
"Risch",1981,4190,446
"Risch",1982,4426,480
"Risch",1983,4653,519
"Risch",1984,4895,548
"Risch",1985,5053,578
"Risch",1986,5153,595
"Risch",1987,5205,651
"Risch",1988,5329,726
"Risch",1989,5399,751
