"State","Alterskategorie","Typ","Anzahl","Meta","Type","Content"
"Baar","0-4","Ausländer","245","","",""
"Cham","0-4","Ausländer","140","","",""
"Hünenberg","0-4","Ausländer","52","","",""
"Menzingen","0-4","Ausländer","22","","",""
"Neuheim","0-4","Ausländer","21","","",""
"Oberägeri","0-4","Ausländer","41","","",""
"Risch","0-4","Ausländer","92","","",""
"Steinhausen","0-4","Ausländer","75","","",""
"Unterägeri","0-4","Ausländer","88","","",""
"Walchwil","0-4","Ausländer","42","","",""
"Zug","0-4","Ausländer","307","","",""
"Baar","10-14","Ausländer","190","","",""
"Cham","10-14","Ausländer","121","","",""
"Hünenberg","10-14","Ausländer","42","","",""
"Menzingen","10-14","Ausländer","30","","",""
"Neuheim","10-14","Ausländer","24","","",""
"Oberägeri","10-14","Ausländer","58","","",""
"Risch","10-14","Ausländer","82","","",""
"Steinhausen","10-14","Ausländer","78","","",""
"Unterägeri","10-14","Ausländer","87","","",""
"Walchwil","10-14","Ausländer","40","","",""
"Zug","10-14","Ausländer","233","","",""
"Baar","100+","Ausländer","0","","",""
"Cham","100+","Ausländer","0","","",""
"Hünenberg","100+","Ausländer","0","","",""
"Menzingen","100+","Ausländer","0","","",""
"Neuheim","100+","Ausländer","0","","",""
"Oberägeri","100+","Ausländer","0","","",""
"Risch","100+","Ausländer","0","","",""
"Steinhausen","100+","Ausländer","0","","",""
"Unterägeri","100+","Ausländer","0","","",""
"Walchwil","100+","Ausländer","0","","",""
"Zug","100+","Ausländer","0","","",""
"Baar","15-19","Ausländer","172","","",""
"Cham","15-19","Ausländer","76","","",""
"Hünenberg","15-19","Ausländer","40","","",""
"Menzingen","15-19","Ausländer","25","","",""
"Neuheim","15-19","Ausländer","9","","",""
"Oberägeri","15-19","Ausländer","55","","",""
"Risch","15-19","Ausländer","68","","",""
"Steinhausen","15-19","Ausländer","56","","",""
"Unterägeri","15-19","Ausländer","63","","",""
"Walchwil","15-19","Ausländer","24","","",""
"Zug","15-19","Ausländer","259","","",""
"Baar","20-24","Ausländer","172","","",""
"Cham","20-24","Ausländer","104","","",""
"Hünenberg","20-24","Ausländer","37","","",""
"Menzingen","20-24","Ausländer","20","","",""
"Neuheim","20-24","Ausländer","11","","",""
"Oberägeri","20-24","Ausländer","25","","",""
"Risch","20-24","Ausländer","65","","",""
"Steinhausen","20-24","Ausländer","46","","",""
"Unterägeri","20-24","Ausländer","46","","",""
"Walchwil","20-24","Ausländer","16","","",""
"Zug","20-24","Ausländer","237","","",""
"Baar","25-29","Ausländer","268","","",""
"Cham","25-29","Ausländer","116","","",""
"Hünenberg","25-29","Ausländer","56","","",""
"Menzingen","25-29","Ausländer","22","","",""
"Neuheim","25-29","Ausländer","31","","",""
"Oberägeri","25-29","Ausländer","25","","",""
"Risch","25-29","Ausländer","101","","",""
"Steinhausen","25-29","Ausländer","85","","",""
"Unterägeri","25-29","Ausländer","54","","",""
"Walchwil","25-29","Ausländer","19","","",""
"Zug","25-29","Ausländer","372","","",""
"Baar","30-34","Ausländer","418","","",""
"Cham","30-34","Ausländer","219","","",""
"Hünenberg","30-34","Ausländer","81","","",""
"Menzingen","30-34","Ausländer","33","","",""
"Neuheim","30-34","Ausländer","31","","",""
"Oberägeri","30-34","Ausländer","53","","",""
"Risch","30-34","Ausländer","145","","",""
"Steinhausen","30-34","Ausländer","112","","",""
"Unterägeri","30-34","Ausländer","81","","",""
"Walchwil","30-34","Ausländer","37","","",""
"Zug","30-34","Ausländer","565","","",""
"Baar","35-39","Ausländer","457","","",""
"Cham","35-39","Ausländer","249","","",""
"Hünenberg","35-39","Ausländer","67","","",""
"Menzingen","35-39","Ausländer","37","","",""
"Neuheim","35-39","Ausländer","18","","",""
"Oberägeri","35-39","Ausländer","71","","",""
"Risch","35-39","Ausländer","175","","",""
"Steinhausen","35-39","Ausländer","139","","",""
"Unterägeri","35-39","Ausländer","121","","",""
"Walchwil","35-39","Ausländer","43","","",""
"Zug","35-39","Ausländer","621","","",""
"Baar","40-44","Ausländer","384","","",""
"Cham","40-44","Ausländer","260","","",""
"Hünenberg","40-44","Ausländer","86","","",""
"Menzingen","40-44","Ausländer","54","","",""
"Neuheim","40-44","Ausländer","27","","",""
"Oberägeri","40-44","Ausländer","88","","",""
"Risch","40-44","Ausländer","170","","",""
"Steinhausen","40-44","Ausländer","119","","",""
"Unterägeri","40-44","Ausländer","117","","",""
"Walchwil","40-44","Ausländer","67","","",""
"Zug","40-44","Ausländer","563","","",""
"Baar","45-49","Ausländer","374","","",""
"Cham","45-49","Ausländer","217","","",""
"Hünenberg","45-49","Ausländer","89","","",""
"Menzingen","45-49","Ausländer","48","","",""
"Neuheim","45-49","Ausländer","47","","",""
"Oberägeri","45-49","Ausländer","104","","",""
"Risch","45-49","Ausländer","139","","",""
"Steinhausen","45-49","Ausländer","100","","",""
"Unterägeri","45-49","Ausländer","111","","",""
"Walchwil","45-49","Ausländer","92","","",""
"Zug","45-49","Ausländer","568","","",""
"Baar","5-9","Ausländer","222","","",""
"Cham","5-9","Ausländer","157","","",""
"Hünenberg","5-9","Ausländer","53","","",""
"Menzingen","5-9","Ausländer","31","","",""
"Neuheim","5-9","Ausländer","22","","",""
"Oberägeri","5-9","Ausländer","59","","",""
"Risch","5-9","Ausländer","87","","",""
"Steinhausen","5-9","Ausländer","85","","",""
"Unterägeri","5-9","Ausländer","82","","",""
"Walchwil","5-9","Ausländer","40","","",""
"Zug","5-9","Ausländer","281","","",""
"Baar","50-54","Ausländer","302","","",""
"Cham","50-54","Ausländer","167","","",""
"Hünenberg","50-54","Ausländer","78","","",""
"Menzingen","50-54","Ausländer","43","","",""
"Neuheim","50-54","Ausländer","28","","",""
"Oberägeri","50-54","Ausländer","111","","",""
"Risch","50-54","Ausländer","128","","",""
"Steinhausen","50-54","Ausländer","109","","",""
"Unterägeri","50-54","Ausländer","121","","",""
"Walchwil","50-54","Ausländer","75","","",""
"Zug","50-54","Ausländer","512","","",""
