"Jahr","Ereignis","Anzahl","Meta","Type","Content"
"1969","Geburten",1398,NA,NA,NA
"1969","Minus",-526,NA,NA,NA
"1969","Todesfälle",526,NA,NA,NA
"1970","Geburten",1208,NA,NA,NA
"1970","Minus",-438,NA,NA,NA
"1970","Todesfälle",438,NA,NA,NA
"1971","Geburten",1235,NA,NA,NA
"1971","Minus",-485,NA,NA,NA
"1971","Todesfälle",485,NA,NA,NA
"1972","Geburten",1218,NA,NA,NA
"1972","Minus",-496,NA,NA,NA
"1972","Todesfälle",496,NA,NA,NA
"1973","Geburten",1227,NA,NA,NA
"1973","Minus",-508,NA,NA,NA
"1973","Todesfälle",508,NA,NA,NA
"1974","Geburten",1078,NA,NA,NA
"1974","Minus",-532,NA,NA,NA
"1974","Todesfälle",532,NA,NA,NA
"1975","Geburten",1022,NA,NA,NA
"1975","Minus",-538,NA,NA,NA
"1975","Todesfälle",538,NA,NA,NA
"1976","Geburten",978,NA,NA,NA
"1976","Minus",-450,NA,NA,NA
"1976","Todesfälle",450,NA,NA,NA
"1977","Geburten",943,NA,NA,NA
"1977","Minus",-485,NA,NA,NA
"1977","Todesfälle",485,NA,NA,NA
"1978","Geburten",950,NA,NA,NA
"1978","Minus",-506,NA,NA,NA
"1978","Todesfälle",506,NA,NA,NA
"1979","Geburten",990,NA,NA,NA
"1979","Minus",-528,NA,NA,NA
"1979","Todesfälle",528,NA,NA,NA
"1980","Geburten",981,NA,NA,NA
"1980","Minus",-509,NA,NA,NA
"1980","Todesfälle",509,NA,NA,NA
"1981","Geburten",967,NA,NA,NA
"1981","Minus",-534,NA,NA,NA
"1981","Todesfälle",534,NA,NA,NA
"1982","Geburten",985,NA,NA,NA
"1982","Minus",-519,NA,NA,NA
"1982","Todesfälle",519,NA,NA,NA
"1983","Geburten",928,NA,NA,NA
"1983","Minus",-585,NA,NA,NA
"1983","Todesfälle",585,NA,NA,NA
"1984","Geburten",976,NA,NA,NA
"1984","Minus",-508,NA,NA,NA
"1984","Todesfälle",508,NA,NA,NA
"1985","Geburten",1025,NA,NA,NA
"1985","Minus",-526,NA,NA,NA
"1985","Todesfälle",526,NA,NA,NA
"1986","Geburten",1046,NA,NA,NA
"1986","Minus",-579,NA,NA,NA
"1986","Todesfälle",579,NA,NA,NA
"1987","Geburten",1050,NA,NA,NA
"1987","Minus",-583,NA,NA,NA
"1987","Todesfälle",583,NA,NA,NA
"1988","Geburten",1058,NA,NA,NA
"1988","Minus",-576,NA,NA,NA
"1988","Todesfälle",576,NA,NA,NA
"1989","Geburten",1115,NA,NA,NA
"1989","Minus",-606,NA,NA,NA
"1989","Todesfälle",606,NA,NA,NA
"1990","Geburten",1067,NA,NA,NA
"1990","Minus",-610,NA,NA,NA
"1990","Todesfälle",610,NA,NA,NA
"1991","Geburten",1072,NA,NA,NA
"1991","Minus",-568,NA,NA,NA
"1991","Todesfälle",568,NA,NA,NA
"1992","Geburten",1116,NA,NA,NA
"1992","Minus",-578,NA,NA,NA
"1992","Todesfälle",578,NA,NA,NA
"1993","Geburten",1088,NA,NA,NA
"1993","Minus",-557,NA,NA,NA
"1993","Todesfälle",557,NA,NA,NA
"1994","Geburten",1140,NA,NA,NA
"1994","Minus",-563,NA,NA,NA
"1994","Todesfälle",563,NA,NA,NA
"1995","Geburten",1145,NA,NA,NA
"1995","Minus",-622,NA,NA,NA
"1995","Todesfälle",622,NA,NA,NA
"1996","Geburten",1176,NA,NA,NA
"1996","Minus",-626,NA,NA,NA
"1996","Todesfälle",626,NA,NA,NA
"1997","Geburten",1177,NA,NA,NA
"1997","Minus",-648,NA,NA,NA
"1997","Todesfälle",648,NA,NA,NA
"1998","Geburten",1184,NA,NA,NA
"1998","Minus",-653,NA,NA,NA
"1998","Todesfälle",653,NA,NA,NA
"1999","Geburten",1101,NA,NA,NA
"1999","Minus",-636,NA,NA,NA
"1999","Todesfälle",636,NA,NA,NA
"2000","Geburten",1217,NA,NA,NA
"2000","Minus",-700,NA,NA,NA
"2000","Todesfälle",700,NA,NA,NA
"2001","Geburten",1105,NA,NA,NA
"2001","Minus",-654,NA,NA,NA
"2001","Todesfälle",654,NA,NA,NA
"2002","Geburten",1065,NA,NA,NA
"2002","Minus",-672,NA,NA,NA
"2002","Todesfälle",672,NA,NA,NA
"2003","Geburten",1157,NA,NA,NA
"2003","Minus",-690,NA,NA,NA
"2003","Todesfälle",690,NA,NA,NA
"2004","Geburten",1102,NA,NA,NA
"2004","Minus",-660,NA,NA,NA
"2004","Todesfälle",660,NA,NA,NA
"2005","Geburten",1143,NA,NA,NA
"2005","Minus",-688,NA,NA,NA
"2005","Todesfälle",688,NA,NA,NA
"2006","Geburten",1154,NA,NA,NA
"2006","Minus",-626,NA,NA,NA
"2006","Todesfälle",626,NA,NA,NA
"2007","Geburten",1145,NA,NA,NA
"2007","Minus",-645,NA,NA,NA
"2007","Todesfälle",645,NA,NA,NA
"2008","Geburten",1164,NA,NA,NA
"2008","Minus",-666,NA,NA,NA
"2008","Todesfälle",666,NA,NA,NA
"2009","Geburten",1166,NA,NA,NA
"2009","Minus",-662,NA,NA,NA
"2009","Todesfälle",662,NA,NA,NA
"2010","Geburten",1165,NA,NA,NA
"2010","Minus",-706,NA,NA,NA
"2010","Todesfälle",706,NA,NA,NA
"2011","Geburten",1200,NA,NA,NA
"2011","Minus",-720,NA,NA,NA
"2011","Todesfälle",720,NA,NA,NA
"2012","Geburten",1201,NA,NA,NA
"2012","Minus",-742,NA,NA,NA
"2012","Todesfälle",742,NA,NA,NA
"2013","Geburten",1258,NA,NA,NA
"2013","Minus",-764,NA,NA,NA
"2013","Todesfälle",764,NA,NA,NA
"2014","Geburten",1284,NA,NA,NA
"2014","Minus",-742,NA,NA,NA
"2014","Todesfälle",742,NA,NA,NA
"2015","Geburten",1295,NA,NA,NA
"2015","Minus",-735,NA,NA,NA
"2015","Todesfälle",735,NA,NA,NA
"2016","Geburten",1377,NA,NA,NA
"2016","Minus",-746,NA,NA,NA
"2016","Todesfälle",746,NA,NA,NA
"2017","Geburten",1257,NA,NA,NA
"2017","Minus",-795,NA,NA,NA
"2017","Todesfälle",795,NA,NA,NA
"2018","Geburten",1343,NA,NA,NA
"2018","Minus",-814,NA,NA,NA
"2018","Todesfälle",814,NA,NA,NA
"2019","Geburten",1329,NA,NA,NA
"2019","Minus",-791,NA,NA,NA
"2019","Todesfälle",791,NA,NA,NA
NA,NA,NA,"1","datatypes","year,string,integer"
NA,NA,NA,"1","title","Geburten und Todesfälle"
NA,NA,NA,"1","subtitle","Kanton Zug, 1969-2019"
NA,NA,NA,"1","description",""
NA,NA,NA,"1","source","Bundesamt für Statistik, BEVNAT"
