"Jahr","Datum","Arbeitslosenquote","Meta","Type","Content"
"1975","1975-02-01"," 16",NA,NA,NA
"1975","1975-03-01"," 18",NA,NA,NA
"1975","1975-04-01"," 72",NA,NA,NA
"1975","1975-05-01","110",NA,NA,NA
"1975","1975-06-01","125",NA,NA,NA
"1975","1975-07-01","130",NA,NA,NA
"1975","1975-08-01","129",NA,NA,NA
"1975","1975-09-01","131",NA,NA,NA
"1975","1975-10-01","133",NA,NA,NA
"1975","1975-11-01","137",NA,NA,NA
"1975","1975-12-01","156",NA,NA,NA
"1976","1976-02-01","148",NA,NA,NA
"1976","1976-03-01","142",NA,NA,NA
"1976","1976-04-01","133",NA,NA,NA
"1976","1976-05-01","128",NA,NA,NA
"1976","1976-06-01","127",NA,NA,NA
"1976","1976-07-01","108",NA,NA,NA
"1976","1976-08-01","103",NA,NA,NA
"1976","1976-09-01"," 82",NA,NA,NA
"1976","1976-10-01"," 87",NA,NA,NA
"1976","1976-11-01","116",NA,NA,NA
"1976","1976-12-01"," 88",NA,NA,NA
"1977","1977-02-01"," 94",NA,NA,NA
"1977","1977-03-01"," 54",NA,NA,NA
"1977","1977-04-01"," 57",NA,NA,NA
"1977","1977-05-01"," 61",NA,NA,NA
"1977","1977-06-01"," 37",NA,NA,NA
"1977","1977-07-01"," 30",NA,NA,NA
"1977","1977-08-01"," 29",NA,NA,NA
"1977","1977-09-01"," 43",NA,NA,NA
"1977","1977-10-01"," 26",NA,NA,NA
"1977","1977-11-01"," 36",NA,NA,NA
"1977","1977-12-01"," 41",NA,NA,NA
"1978","1978-02-01"," 19",NA,NA,NA
"1978","1978-03-01"," 18",NA,NA,NA
"1978","1978-04-01"," 22",NA,NA,NA
"1978","1978-05-01"," 20",NA,NA,NA
"1978","1978-06-01"," 12",NA,NA,NA
"1978","1978-07-01","  9",NA,NA,NA
"1978","1978-08-01"," 14",NA,NA,NA
"1978","1978-09-01"," 10",NA,NA,NA
"1978","1978-10-01"," 15",NA,NA,NA
"1978","1978-11-01"," 23",NA,NA,NA
"1978","1978-12-01"," 28",NA,NA,NA
"1979","1979-02-01","  7",NA,NA,NA
"1979","1979-03-01","  4",NA,NA,NA
"1979","1979-04-01"," 11",NA,NA,NA
"1979","1979-05-01","478",NA,NA,NA
"1979","1979-06-01","478",NA,NA,NA
"1979","1979-07-01","476",NA,NA,NA
"1979","1979-08-01","  5",NA,NA,NA
"1979","1979-09-01","479",NA,NA,NA
"1979","1979-10-01","  2",NA,NA,NA
"1979","1979-11-01","477",NA,NA,NA
"1979","1979-12-01","478",NA,NA,NA
"1980","1980-02-01","  2",NA,NA,NA
"1980","1980-03-01","474",NA,NA,NA
"1980","1980-04-01","472",NA,NA,NA
"1980","1980-05-01","474",NA,NA,NA
"1980","1980-06-01","473",NA,NA,NA
"1980","1980-07-01","470",NA,NA,NA
"1980","1980-08-01","468",NA,NA,NA
"1980","1980-09-01","466",NA,NA,NA
"1980","1980-10-01","463",NA,NA,NA
"1980","1980-11-01","468",NA,NA,NA
"1980","1980-12-01","472",NA,NA,NA
"1981","1981-02-01","475",NA,NA,NA
"1981","1981-03-01","464",NA,NA,NA
"1981","1981-04-01","469",NA,NA,NA
"1981","1981-05-01","469",NA,NA,NA
"1981","1981-06-01","465",NA,NA,NA
"1981","1981-07-01","467",NA,NA,NA
"1981","1981-08-01","  6",NA,NA,NA
"1981","1981-09-01","471",NA,NA,NA
"1981","1981-10-01","  1",NA,NA,NA
"1981","1981-11-01"," 13",NA,NA,NA
"1981","1981-12-01","  3",NA,NA,NA
"1982","1982-02-01","  8",NA,NA,NA
"1982","1982-03-01"," 13",NA,NA,NA
"1982","1982-04-01"," 17",NA,NA,NA
"1982","1982-05-01"," 25",NA,NA,NA
"1982","1982-06-01"," 24",NA,NA,NA
"1982","1982-07-01"," 21",NA,NA,NA
"1982","1982-08-01"," 39",NA,NA,NA
"1982","1982-09-01"," 40",NA,NA,NA
"1982","1982-10-01"," 59",NA,NA,NA
"1982","1982-11-01"," 97",NA,NA,NA
"1982","1982-12-01","107",NA,NA,NA
"1983","1983-02-01","115",NA,NA,NA
"1983","1983-03-01"," 79",NA,NA,NA
"1983","1983-04-01"," 80",NA,NA,NA
"1983","1983-05-01"," 74",NA,NA,NA
"1983","1983-06-01"," 75",NA,NA,NA
"1983","1983-07-01"," 53",NA,NA,NA
"1983","1983-08-01"," 60",NA,NA,NA
"1983","1983-09-01"," 71",NA,NA,NA
"1983","1983-10-01"," 76",NA,NA,NA
"1983","1983-11-01","109",NA,NA,NA
"1983","1983-12-01","114",NA,NA,NA
"1984","1984-02-01","124",NA,NA,NA
"1984","1984-03-01","121",NA,NA,NA
"1984","1984-04-01","118",NA,NA,NA
"1984","1984-05-01"," 93",NA,NA,NA
"1984","1984-06-01","106",NA,NA,NA
"1984","1984-07-01","120",NA,NA,NA
"1984","1984-08-01","117",NA,NA,NA
"1984","1984-09-01","111",NA,NA,NA
"1984","1984-10-01","117",NA,NA,NA
"1984","1984-11-01","112",NA,NA,NA
"1984","1984-12-01","123",NA,NA,NA
"1985","1985-02-01","119",NA,NA,NA
"1985","1985-03-01","100",NA,NA,NA
"1985","1985-04-01"," 79",NA,NA,NA
"1985","1985-05-01"," 71",NA,NA,NA
"1985","1985-06-01"," 74",NA,NA,NA
"1985","1985-07-01"," 68",NA,NA,NA
"1985","1985-08-01"," 68",NA,NA,NA
"1985","1985-09-01"," 68",NA,NA,NA
"1985","1985-10-01"," 68",NA,NA,NA
"1985","1985-11-01"," 93",NA,NA,NA
"1985","1985-12-01","106",NA,NA,NA
"1986","1986-02-01"," 85",NA,NA,NA
"1986","1986-03-01"," 81",NA,NA,NA
"1986","1986-04-01"," 63",NA,NA,NA
"1986","1986-05-01"," 52",NA,NA,NA
"1986","1986-06-01"," 51",NA,NA,NA
"1986","1986-07-01"," 45",NA,NA,NA
"1986","1986-08-01"," 55",NA,NA,NA
"1986","1986-09-01"," 73",NA,NA,NA
"1986","1986-10-01"," 62",NA,NA,NA
"1986","1986-11-01"," 95",NA,NA,NA
"1986","1986-12-01","101",NA,NA,NA
"1987","1987-02-01","105",NA,NA,NA
"1987","1987-03-01","113",NA,NA,NA
"1987","1987-04-01"," 91",NA,NA,NA
"1987","1987-05-01"," 89",NA,NA,NA
"1987","1987-06-01"," 96",NA,NA,NA
"1987","1987-07-01"," 84",NA,NA,NA
"1987","1987-08-01"," 86",NA,NA,NA
"1987","1987-09-01"," 78",NA,NA,NA
"1987","1987-10-01"," 66",NA,NA,NA
"1987","1987-11-01"," 71",NA,NA,NA
"1987","1987-12-01"," 95",NA,NA,NA
"1988","1988-02-01"," 89",NA,NA,NA
"1988","1988-03-01"," 92",NA,NA,NA
"1988","1988-04-01"," 83",NA,NA,NA
"1988","1988-05-01"," 70",NA,NA,NA
"1988","1988-06-01"," 64",NA,NA,NA
