"Jahr","Datum","Index","Meta","Type","Content"
"1982",1982-12-01,"100",NA,NA,NA
"1983",1983-01-01,"99.9",NA,NA,NA
"1983",1983-02-01,"100",NA,NA,NA
"1983",1983-03-01,"100.2",NA,NA,NA
"1983",1983-04-01,"100.5",NA,NA,NA
"1983",1983-05-01,"100.6",NA,NA,NA
"1983",1983-06-01,"101",NA,NA,NA
"1983",1983-07-01,"100.8",NA,NA,NA
"1983",1983-08-01,"101.1",NA,NA,NA
"1983",1983-09-01,"101.2",NA,NA,NA
"1983",1983-10-01,"101.4",NA,NA,NA
"1983",1983-11-01,"102.1",NA,NA,NA
"1983",1983-12-01,"102.1",NA,NA,NA
"1984",1984-01-01,"102.5",NA,NA,NA
"1984",1984-02-01,"102.9",NA,NA,NA
"1984",1984-03-01,"103.5",NA,NA,NA
"1984",1984-04-01,"103.7",NA,NA,NA
"1984",1984-05-01,"103.5",NA,NA,NA
"1984",1984-06-01,"103.8",NA,NA,NA
"1984",1984-07-01,"103.6",NA,NA,NA
"1984",1984-08-01,"104",NA,NA,NA
"1984",1984-09-01,"103.9",NA,NA,NA
"1984",1984-10-01,"104.6",NA,NA,NA
"1984",1984-11-01,"105.1",NA,NA,NA
"1984",1984-12-01,"105.1",NA,NA,NA
"1985",1985-01-01,"106.1",NA,NA,NA
"1985",1985-02-01,"107",NA,NA,NA
"1985",1985-03-01,"107.6",NA,NA,NA
"1985",1985-04-01,"107.5",NA,NA,NA
"1985",1985-05-01,"107.4",NA,NA,NA
"1985",1985-06-01,"107.3",NA,NA,NA
"1985",1985-07-01,"107.1",NA,NA,NA
"1985",1985-08-01,"107.1",NA,NA,NA
"1985",1985-09-01,"107.4",NA,NA,NA
"1985",1985-10-01,"107.7",NA,NA,NA
"1985",1985-11-01,"108.4",NA,NA,NA
"1985",1985-12-01,"108.5",NA,NA,NA
"1986",1986-01-01,"108.5",NA,NA,NA
"1986",1986-02-01,"108.4",NA,NA,NA
"1986",1986-03-01,"108.6",NA,NA,NA
"1986",1986-04-01,"108.5",NA,NA,NA
"1986",1986-05-01,"108.2",NA,NA,NA
"1986",1986-06-01,"108.2",NA,NA,NA
"1986",1986-07-01,"107.6",NA,NA,NA
"1986",1986-08-01,"107.9",NA,NA,NA
"1986",1986-09-01,"108",NA,NA,NA
"1986",1986-10-01,"108.1",NA,NA,NA
"1986",1986-11-01,"108.3",NA,NA,NA
"1986",1986-12-01,"108.5",NA,NA,NA
"1987",1987-01-01,"109.2",NA,NA,NA
"1987",1987-02-01,"109.5",NA,NA,NA
"1987",1987-03-01,"109.7",NA,NA,NA
"1987",1987-04-01,"109.8",NA,NA,NA
