"Jahr","Energieträger","Energieverbrauch in TJ (Terrajoule)","Meta","Type","Content"
"1910","Erdölbrennstofe","240",NA,NA,NA
"1911","Erdölbrennstofe","340",NA,NA,NA
"1912","Erdölbrennstofe","350",NA,NA,NA
"1913","Erdölbrennstofe","340",NA,NA,NA
"1914","Erdölbrennstofe","150",NA,NA,NA
"1915","Erdölbrennstofe","41",NA,NA,NA
"1916","Erdölbrennstofe","12",NA,NA,NA
"1917","Erdölbrennstofe","3",NA,NA,NA
"1918","Erdölbrennstofe","10",NA,NA,NA
"1919","Erdölbrennstofe","49",NA,NA,NA
"1920","Erdölbrennstofe","370",NA,NA,NA
"1921","Erdölbrennstofe","390",NA,NA,NA
"1922","Erdölbrennstofe","1010",NA,NA,NA
"1923","Erdölbrennstofe","1200",NA,NA,NA
"1924","Erdölbrennstofe","1520",NA,NA,NA
"1925","Erdölbrennstofe","1560",NA,NA,NA
"1926","Erdölbrennstofe","1760",NA,NA,NA
"1927","Erdölbrennstofe","2010",NA,NA,NA
"1928","Erdölbrennstofe","2370",NA,NA,NA
"1929","Erdölbrennstofe","2980",NA,NA,NA
"1930","Erdölbrennstofe","3310",NA,NA,NA
"1931","Erdölbrennstofe","3880",NA,NA,NA
"1932","Erdölbrennstofe","5170",NA,NA,NA
"1933","Erdölbrennstofe","6070",NA,NA,NA
"1934","Erdölbrennstofe","6430",NA,NA,NA
"1935","Erdölbrennstofe","6760",NA,NA,NA
"1936","Erdölbrennstofe","6970",NA,NA,NA
"1937","Erdölbrennstofe","6450",NA,NA,NA
"1938","Erdölbrennstofe","6770",NA,NA,NA
"1939","Erdölbrennstofe","7700",NA,NA,NA
"1940","Erdölbrennstofe","4800",NA,NA,NA
"1941","Erdölbrennstofe","1940",NA,NA,NA
"1942","Erdölbrennstofe","1510",NA,NA,NA
"1943","Erdölbrennstofe","1320",NA,NA,NA
"1944","Erdölbrennstofe","650",NA,NA,NA
"1945","Erdölbrennstofe","670",NA,NA,NA
"1946","Erdölbrennstofe","8690",NA,NA,NA
"1947","Erdölbrennstofe","17450",NA,NA,NA
"1948","Erdölbrennstofe","16060",NA,NA,NA
"1949","Erdölbrennstofe","19360",NA,NA,NA
"1950","Erdölbrennstofe","23670",NA,NA,NA
"1951","Erdölbrennstofe","26470",NA,NA,NA
"1952","Erdölbrennstofe","27580",NA,NA,NA
"1953","Erdölbrennstofe","30410",NA,NA,NA
"1954","Erdölbrennstofe","40680",NA,NA,NA
"1955","Erdölbrennstofe","47690",NA,NA,NA
"1956","Erdölbrennstofe","64000",NA,NA,NA
"1957","Erdölbrennstofe","62490",NA,NA,NA
"1958","Erdölbrennstofe","74750",NA,NA,NA
"1959","Erdölbrennstofe","77190",NA,NA,NA
"1960","Erdölbrennstofe","95300",NA,NA,NA
"1961","Erdölbrennstofe","103560",NA,NA,NA
"1962","Erdölbrennstofe","134470",NA,NA,NA
"1963","Erdölbrennstofe","169340",NA,NA,NA
"1964","Erdölbrennstofe","182220",NA,NA,NA
"1965","Erdölbrennstofe","212980",NA,NA,NA
"1966","Erdölbrennstofe","216960",NA,NA,NA
"1967","Erdölbrennstofe","235220",NA,NA,NA
"1968","Erdölbrennstofe","261550",NA,NA,NA
"1969","Erdölbrennstofe","291150",NA,NA,NA
"1970","Erdölbrennstofe","316510",NA,NA,NA
"1971","Erdölbrennstofe","334490",NA,NA,NA
"1972","Erdölbrennstofe","336470",NA,NA,NA
"1973","Erdölbrennstofe","371150",NA,NA,NA
"1974","Erdölbrennstofe","325810",NA,NA,NA
"1975","Erdölbrennstofe","314830",NA,NA,NA
"1976","Erdölbrennstofe","320700",NA,NA,NA
"1977","Erdölbrennstofe","313400",NA,NA,NA
"1978","Erdölbrennstofe","335600",NA,NA,NA
"1979","Erdölbrennstofe","313930",NA,NA,NA
"1980","Erdölbrennstofe","310660",NA,NA,NA
"1981","Erdölbrennstofe","284090",NA,NA,NA
"1982","Erdölbrennstofe","264940",NA,NA,NA
"1983","Erdölbrennstofe","268480",NA,NA,NA
"1984","Erdölbrennstofe","272330",NA,NA,NA
"1985","Erdölbrennstofe","270780",NA,NA,NA
"1986","Erdölbrennstofe","274260",NA,NA,NA
"1987","Erdölbrennstofe","268440",NA,NA,NA
"1988","Erdölbrennstofe","261760",NA,NA,NA
"1989","Erdölbrennstofe","247020",NA,NA,NA
"1990","Erdölbrennstofe","243600",NA,NA,NA
"1991","Erdölbrennstofe","261650",NA,NA,NA
"1992","Erdölbrennstofe","257870",NA,NA,NA
"1993","Erdölbrennstofe","245520",NA,NA,NA
"1994","Erdölbrennstofe","228480",NA,NA,NA
"1995","Erdölbrennstofe","237680",NA,NA,NA
"1996","Erdölbrennstofe","243540",NA,NA,NA
"1997","Erdölbrennstofe","228100",NA,NA,NA
"1998","Erdölbrennstofe","239750",NA,NA,NA
"1999","Erdölbrennstofe","227680",NA,NA,NA
"2000","Erdölbrennstofe","208430",NA,NA,NA
"2001","Erdölbrennstofe","226750",NA,NA,NA
"2002","Erdölbrennstofe","208240",NA,NA,NA
"2003","Erdölbrennstofe","218430",NA,NA,NA
"2004","Erdölbrennstofe","215460",NA,NA,NA
"2005","Erdölbrennstofe","215720",NA,NA,NA
"2006","Erdölbrennstofe","207680",NA,NA,NA
"2007","Erdölbrennstofe","180730",NA,NA,NA
"2008","Erdölbrennstofe","188230",NA,NA,NA
