"Kanton","Bezirk","Gemeinde","Anzahl","Meta","Type","Content"
"Zürich","","Zürich","5041",NA,NA,NA
"Zürich","Bezirk Affoltern","Affoltern am Albis","788",NA,NA,NA
"Zürich","Bezirk Affoltern","Mettmenstetten","560",NA,NA,NA
"Zürich","Bezirk Affoltern","Knonau","486",NA,NA,NA
"Zürich","Bezirk Affoltern","Hausen am Albis","474",NA,NA,NA
"Zürich","Bezirk Affoltern","Obfelden","445",NA,NA,NA
"Zürich","Bezirk Affoltern","Kappel am Albis","240",NA,NA,NA
"Zürich","Bezirk Affoltern","Bonstetten","174",NA,NA,NA
"Zürich","Bezirk Affoltern","Ottenbach","157",NA,NA,NA
"Zürich","Bezirk Affoltern","Aeugst am Albis","154",NA,NA,NA
"Zürich","Bezirk Affoltern","Hedingen","149",NA,NA,NA
"Zürich","Bezirk Affoltern","Wettswil am Albis","140",NA,NA,NA
"Zürich","Bezirk Affoltern","Rifferswil","121",NA,NA,NA
"Zürich","Bezirk Affoltern","Stallikon","104",NA,NA,NA
"Zürich","Bezirk Affoltern","Maschwanden","68",NA,NA,NA
"Zürich","Bezirk Horgen","Horgen","652",NA,NA,NA
"Zürich","Bezirk Horgen","Thalwil","556",NA,NA,NA
"Zürich","Bezirk Horgen","Wädenswil","441",NA,NA,NA
"Zürich","Bezirk Horgen","Richterswil","268",NA,NA,NA
"Zürich","Bezirk Horgen","Adliswil","261",NA,NA,NA
"Zürich","Bezirk Horgen","Kilchberg (ZH)","243",NA,NA,NA
"Zürich","Bezirk Horgen","Langnau am Albis","155",NA,NA,NA
"Zürich","Bezirk Horgen","Rüschlikon","152",NA,NA,NA
"Zürich","Bezirk Horgen","Oberrieden","129",NA,NA,NA
"Zürich","Bezirk Horgen","Schönenberg (ZH)","63",NA,NA,NA
"Zürich","Bezirk Horgen","Hütten","41",NA,NA,NA
"Zürich","Bezirk Dietikon","Dietikon","228",NA,NA,NA
"Zürich","Bezirk Dietikon","Schlieren","183",NA,NA,NA
"Zürich","Bezirk Dietikon","Birmensdorf (ZH)","109",NA,NA,NA
"Zürich","Bezirk Dietikon","Urdorf","102",NA,NA,NA
"Zürich","Bezirk Dietikon","Uitikon","77",NA,NA,NA
"Zürich","Bezirk Dietikon","Oberengstringen","61",NA,NA,NA
"Zürich","Bezirk Dietikon","Aesch (ZH)","45",NA,NA,NA
"Zürich","Bezirk Dietikon","Unterengstringen","39",NA,NA,NA
"Zürich","Bezirk Dietikon","Geroldswil","32",NA,NA,NA
"Zürich","Bezirk Dietikon","Weiningen (ZH)","31",NA,NA,NA
"Zürich","Bezirk Dietikon","Oetwil an der Limmat","26",NA,NA,NA
"Zürich","Bezirk Meilen","Küsnacht (ZH)","171",NA,NA,NA
"Zürich","Bezirk Meilen","Zollikon","146",NA,NA,NA
"Zürich","Bezirk Meilen","Meilen","129",NA,NA,NA
