"abbrev","Zielkanton","Ausland","Restliche Schweiz","Zürich","Aargau","Luzern","Schwyz","Zug","Zugersee","Aegerisee","total_imm","total_emm","Meta","Type","Content"
"AL","Ausland","N/A","0","0","0","0","0","0","0","0","0","118",NA,NA,NA
"CH","Restliche Schweiz","0","N/A","0","0","0","0","742","0","0","742","630",NA,NA,NA
"ZH","Zürich","0","0","N/A","0","0","0","1830","0","0","1830","1300",NA,NA,NA
"AG","Aargau","0","0","0","N/A","0","0","260","0","0","260","770",NA,NA,NA
"LU","Luzern","0","0","0","0","N/A","0","1740","0","0","1740","937",NA,NA,NA
"SZ","Schwyz","0","0","0","0","0","N/A","170","0","0","170","1373",NA,NA,NA
"ZG","Zug","118","630","1300","770","937","1373","N/A","0","0","5128","4742",NA,NA,NA
"ZS","Zugersee","0","0","0","0","0","0","0","N/A","0","0","0",NA,NA,NA
"AS","Aegerisee","0","0","0","0","0","0","0","0","N/A","0","0",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","datatypes","string,integer,integer,integer,integer,integer,integer,integer"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","title","Patientenströme über die Zuger Kantonsgrenzen"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","subtitle","2019"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","description","Es werden nur stationäre Fälle berücksichtigt. Die Anzahl entspricht jeweils den Austritten."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","source","Bundesamt für Statistik, Medizinische Statistik der Krankenhäuser"
