"Typ","Datum","Anzahl","Stand","Meta","Type","Content"
"Fallzahl","01.03.2020","0","2020-03-02 08:00:00",NA,NA,NA
"Fallzahl","02.03.2020","1","2020-03-03 08:00:00",NA,NA,NA
"Fallzahl","03.03.2020","1","2020-03-04 08:00:00",NA,NA,NA
"Fallzahl","04.03.2020","2","2020-03-05 08:00:00",NA,NA,NA
"Fallzahl","05.03.2020","3","2020-03-06 08:00:00",NA,NA,NA
"Fallzahl","06.03.2020","3","2020-03-07 08:00:00",NA,NA,NA
"Fallzahl","07.03.2020","3","2020-03-08 08:00:00",NA,NA,NA
"Fallzahl","08.03.2020","10","2020-03-09 08:00:00",NA,NA,NA
"Fallzahl","09.03.2020","10","2020-03-10 08:00:00",NA,NA,NA
"Fallzahl","10.03.2020","11","2020-03-11 08:00:00",NA,NA,NA
"Fallzahl","11.03.2020","11","2020-03-12 08:00:00",NA,NA,NA
"Fallzahl","12.03.2020","11","2020-03-13 08:00:00",NA,NA,NA
"Fallzahl","13.03.2020","13","2020-03-14 08:00:00",NA,NA,NA
"Fallzahl","14.03.2020","13","2020-03-15 08:00:00",NA,NA,NA
"Fallzahl","15.03.2020","20","2020-03-16 08:00:00",NA,NA,NA
"Fallzahl","16.03.2020","29","2020-03-17 08:00:00",NA,NA,NA
"Fallzahl","17.03.2020","33","2020-03-18 08:00:00",NA,NA,NA
"Fallzahl","18.03.2020","37","2020-03-19 08:00:00",NA,NA,NA
"Fallzahl","19.03.2020","48","2020-03-20 08:00:00",NA,NA,NA
"Fallzahl","20.03.2020","53","2020-03-21 08:00:00",NA,NA,NA
"Fallzahl","21.03.2020","53","2020-03-22 08:00:00",NA,NA,NA
"Fallzahl","22.03.2020","53","2020-03-23 08:00:00",NA,NA,NA
"Fallzahl","23.03.2020","72","2020-03-24 08:00:00",NA,NA,NA
"Fallzahl","24.03.2020","80","2020-03-25 08:00:00",NA,NA,NA
"Fallzahl","25.03.2020","87","2020-03-26 08:00:00",NA,NA,NA
"Fallzahl","26.03.2020","94","2020-03-27 08:00:00",NA,NA,NA
"Fallzahl","27.03.2020","101","2020-03-28 08:00:00",NA,NA,NA
"Fallzahl","28.03.2020","101","2020-03-29 08:00:00",NA,NA,NA
"Fallzahl","29.03.2020","112","2020-03-30 08:00:00",NA,NA,NA
"Fallzahl","30.03.2020","114","2020-03-31 08:00:00",NA,NA,NA
"Fallzahl","31.03.2020","125","2020-04-01 08:00:00",NA,NA,NA
"Fallzahl","01.04.2020","131","2020-04-02 08:00:00",NA,NA,NA
"Fallzahl","02.04.2020","138","2020-04-03 08:00:00",NA,NA,NA
"Fallzahl","03.04.2020","146","2020-04-04 08:00:00",NA,NA,NA
"Fallzahl","04.04.2020","146","2020-04-05 08:00:00",NA,NA,NA
"Fallzahl","05.04.2020","152","2020-04-06 08:00:00",NA,NA,NA
"Fallzahl","06.04.2020","157","2020-04-07 08:00:00",NA,NA,NA
"Fallzahl","07.04.2020","162","2020-04-08 08:00:00",NA,NA,NA
"Fallzahl","08.04.2020","165","2020-04-09 08:00:00",NA,NA,NA
"Fallzahl","09.04.2020","168","2020-04-10 08:00:00",NA,NA,NA
"Fallzahl","10.04.2020","168","2020-04-11 08:00:00",NA,NA,NA
"Fallzahl","11.04.2020","168","2020-04-12 08:00:00",NA,NA,NA
"Fallzahl","12.04.2020","170","2020-04-13 08:00:00",NA,NA,NA
"Fallzahl","13.04.2020","171","2020-04-14 08:00:00",NA,NA,NA
"Fallzahl","14.04.2020","171","2020-04-15 08:00:00",NA,NA,NA
"Fallzahl","15.04.2020","171","2020-04-16 08:00:00",NA,NA,NA
"Fallzahl","16.04.2020","172","2020-04-17 08:00:00",NA,NA,NA
"Fallzahl","17.04.2020","174","2020-04-18 08:00:00",NA,NA,NA
"Fallzahl","18.04.2020","175","2020-04-19 08:00:00",NA,NA,NA
"Fallzahl","19.04.2020","175","2020-04-20 08:00:00",NA,NA,NA
"Fallzahl","20.04.2020","176","2020-04-21 08:00:00",NA,NA,NA
"Fallzahl","21.04.2020","176","2020-04-22 08:00:00",NA,NA,NA
"Fallzahl","22.04.2020","178","2020-04-23 08:00:00",NA,NA,NA
"Fallzahl","23.04.2020","180","2020-04-24 08:00:00",NA,NA,NA
"Fallzahl","24.04.2020","181","2020-04-25 08:00:00",NA,NA,NA
"Fallzahl","25.04.2020","181","2020-04-26 08:00:00",NA,NA,NA
"Fallzahl","26.04.2020","185","2020-04-27 08:00:00",NA,NA,NA
"Fallzahl","27.04.2020","185","2020-04-28 08:00:00",NA,NA,NA
"Fallzahl","28.04.2020","185","2020-04-29 08:00:00",NA,NA,NA
"Fallzahl","29.04.2020","189","2020-04-30 08:00:00",NA,NA,NA
"Fallzahl","30.04.2020","189","2020-05-01 08:00:00",NA,NA,NA
"Fallzahl","01.05.2020","189","2020-05-02 08:00:00",NA,NA,NA
"Fallzahl","02.05.2020","189","2020-05-03 08:00:00",NA,NA,NA
"Fallzahl","03.05.2020","190","2020-05-04 08:00:00",NA,NA,NA
"Fallzahl","04.05.2020","191","2020-05-05 08:00:00",NA,NA,NA
"Fallzahl","05.05.2020","191","2020-05-06 08:00:00",NA,NA,NA
"Fallzahl","06.05.2020","192","2020-05-07 08:00:00",NA,NA,NA
"Fallzahl","07.05.2020","192","2020-05-08 08:00:00",NA,NA,NA
"Fallzahl","08.05.2020","193","2020-05-09 08:00:00",NA,NA,NA
"Fallzahl","09.05.2020","193","2020-05-10 08:00:00",NA,NA,NA
"Fallzahl","10.05.2020","193","2020-05-11 08:00:00",NA,NA,NA
"Fallzahl","11.05.2020","194","2020-05-12 08:00:00",NA,NA,NA
"Fallzahl","12.05.2020","195","2020-05-13 08:00:00",NA,NA,NA
"Fallzahl","13.05.2020","197","2020-05-14 08:00:00",NA,NA,NA
"Fallzahl","14.05.2020","198","2020-05-15 08:00:00",NA,NA,NA
"Fallzahl","15.05.2020","199","2020-05-16 08:00:00",NA,NA,NA
"Fallzahl","16.05.2020","199","2020-05-17 08:00:00",NA,NA,NA
"Fallzahl","17.05.2020","199","2020-05-18 08:00:00",NA,NA,NA
"Fallzahl","18.05.2020","199","2020-05-19 08:00:00",NA,NA,NA
"Fallzahl","19.05.2020","199","2020-05-20 08:00:00",NA,NA,NA
"Fallzahl","20.05.2020","199","2020-05-21 08:00:00",NA,NA,NA
"Fallzahl","21.05.2020","199","2020-05-22 08:00:00",NA,NA,NA
"Fallzahl","22.05.2020","201","2020-05-23 08:00:00",NA,NA,NA
"Fallzahl","23.05.2020","202","2020-05-24 08:00:00",NA,NA,NA
"Fallzahl","24.05.2020","202","2020-05-25 08:00:00",NA,NA,NA
"Fallzahl","25.05.2020","202","2020-05-26 08:00:00",NA,NA,NA
"Fallzahl","26.05.2020","202","2020-05-27 08:00:00",NA,NA,NA
"Fallzahl","27.05.2020","202","2020-05-28 08:00:00",NA,NA,NA
"Fallzahl","28.05.2020","202","2020-05-29 08:00:00",NA,NA,NA
"Fallzahl","29.05.2020","202","2020-05-30 08:00:00",NA,NA,NA
"Fallzahl","30.05.2020","202","2020-05-31 08:00:00",NA,NA,NA
"Fallzahl","31.05.2020","202","2020-06-01 08:00:00",NA,NA,NA
"Fallzahl","01.06.2020","202","2020-06-02 08:00:00",NA,NA,NA
"Fallzahl","02.06.2020","202","2020-06-03 08:00:00",NA,NA,NA
"Fallzahl","03.06.2020","202","2020-06-04 08:00:00",NA,NA,NA
"Fallzahl","04.06.2020","202","2020-06-05 08:00:00",NA,NA,NA
"Fallzahl","05.06.2020","202","2020-06-06 08:00:00",NA,NA,NA
"Fallzahl","06.06.2020","202","2020-06-07 08:00:00",NA,NA,NA
"Fallzahl","07.06.2020","203","2020-06-08 08:00:00",NA,NA,NA
"Fallzahl","08.06.2020","205","2020-06-09 08:00:00",NA,NA,NA
"Fallzahl","09.06.2020","207","2020-06-10 08:00:00",NA,NA,NA
"Fallzahl","10.06.2020","207","2020-06-11 08:00:00",NA,NA,NA
"Fallzahl","11.06.2020","211","2020-06-12 08:00:00",NA,NA,NA
"Fallzahl","12.06.2020","211","2020-06-13 08:00:00",NA,NA,NA
"Fallzahl","13.06.2020","211","2020-06-14 08:00:00",NA,NA,NA
"Fallzahl","14.06.2020","213","2020-06-15 08:00:00",NA,NA,NA
"Fallzahl","15.06.2020","214","2020-06-16 08:00:00",NA,NA,NA
"Fallzahl","16.06.2020","215","2020-06-17 08:00:00",NA,NA,NA
"Fallzahl","17.06.2020","215","2020-06-18 08:00:00",NA,NA,NA
"Fallzahl","18.06.2020","215","2020-06-19 08:00:00",NA,NA,NA
"Fallzahl","19.06.2020","215","2020-06-20 08:00:00",NA,NA,NA
"Fallzahl","20.06.2020","215","2020-06-21 08:00:00",NA,NA,NA
"Fallzahl","21.06.2020","216","2020-06-22 08:00:00",NA,NA,NA
"Fallzahl","22.06.2020","216","2020-06-23 08:00:00",NA,NA,NA
"Fallzahl","23.06.2020","218","2020-06-24 08:00:00",NA,NA,NA
"Fallzahl","24.06.2020","219","2020-06-25 08:00:00",NA,NA,NA
"Fallzahl","25.06.2020","221","2020-06-26 08:00:00",NA,NA,NA
"Fallzahl","26.06.2020","221","2020-06-27 08:00:00",NA,NA,NA
"Fallzahl","27.06.2020","221","2020-06-28 08:00:00",NA,NA,NA
"Fallzahl","28.06.2020","223","2020-06-29 08:00:00",NA,NA,NA
"Fallzahl","29.06.2020","225","2020-06-30 08:00:00",NA,NA,NA
"Fallzahl","30.06.2020","227","2020-07-01 08:00:00",NA,NA,NA
"Fallzahl","01.07.2020","229","2020-07-02 08:00:00",NA,NA,NA
"Fallzahl","02.07.2020","233","2020-07-03 08:00:00",NA,NA,NA
"Fallzahl","03.07.2020","235","2020-07-04 08:00:00",NA,NA,NA
"Fallzahl","04.07.2020","235","2020-07-05 08:00:00",NA,NA,NA
"Fallzahl","05.07.2020","238","2020-07-06 08:00:00",NA,NA,NA
"Fallzahl","06.07.2020","240","2020-07-07 08:00:00",NA,NA,NA
"Fallzahl","07.07.2020","241","2020-07-08 08:00:00",NA,NA,NA
"Fallzahl","08.07.2020","243","2020-07-09 08:00:00",NA,NA,NA
"Fallzahl","09.07.2020","245","2020-07-10 08:00:00",NA,NA,NA
"Fallzahl","10.07.2020","248","2020-07-11 08:00:00",NA,NA,NA
"Fallzahl","11.07.2020","250","2020-07-12 08:00:00",NA,NA,NA
"Fallzahl","12.07.2020","250","2020-07-13 08:00:00",NA,NA,NA
"Fallzahl","13.07.2020","255","2020-07-14 08:00:00",NA,NA,NA
"Fallzahl","14.07.2020","257","2020-07-15 08:00:00",NA,NA,NA
"Fallzahl","15.07.2020","259","2020-07-16 08:00:00",NA,NA,NA
"Fallzahl","16.07.2020","259","2020-07-17 08:00:00",NA,NA,NA
"Fallzahl","17.07.2020","259","2020-07-18 08:00:00",NA,NA,NA
"Fallzahl","18.07.2020","259","2020-07-19 08:00:00",NA,NA,NA
"Fallzahl","19.07.2020","261","2020-07-20 08:00:00",NA,NA,NA
"Fallzahl","20.07.2020","265","2020-07-21 08:00:00",NA,NA,NA
"Fallzahl","21.07.2020","268","2020-07-22 08:00:00",NA,NA,NA
"Fallzahl","22.07.2020","270","2020-07-23 08:00:00",NA,NA,NA
"Fallzahl","23.07.2020","271","2020-07-24 08:00:00",NA,NA,NA
"Fallzahl","24.07.2020","271","2020-07-25 08:00:00",NA,NA,NA
"Fallzahl","25.07.2020","271","2020-07-26 08:00:00",NA,NA,NA
"Fallzahl","26.07.2020","272","2020-07-27 08:00:00",NA,NA,NA
"Fallzahl","27.07.2020","273","2020-07-28 08:00:00",NA,NA,NA
"Fallzahl","28.07.2020","279","2020-07-29 08:00:00",NA,NA,NA
"Fallzahl","29.07.2020","284","2020-07-30 08:00:00",NA,NA,NA
"Fallzahl","30.07.2020","288","2020-07-31 08:00:00",NA,NA,NA
"Fallzahl","31.07.2020","288","2020-08-01 08:00:00",NA,NA,NA
