"Typ","Datum","Anzahl","Meta","Type","Content"
"Isolation","01.03.2020","0",NA,NA,NA
"Isolation","02.03.2020","1.56725072877159",NA,NA,NA
"Isolation","03.03.2020","1.56725072877159",NA,NA,NA
"Isolation","04.03.2020","1.56725072877159",NA,NA,NA
"Isolation","05.03.2020","2.35087609315738",NA,NA,NA
"Isolation","06.03.2020","2.35087609315738",NA,NA,NA
"Isolation","07.03.2020","3.91812682192897",NA,NA,NA
"Isolation","08.03.2020","5.48537755070056",NA,NA,NA
"Isolation","09.03.2020","5.48537755070056",NA,NA,NA
"Isolation","10.03.2020","5.48537755070056",NA,NA,NA
"Isolation","11.03.2020","4.70175218631477",NA,NA,NA
"Isolation","12.03.2020","4.70175218631477",NA,NA,NA
"Isolation","13.03.2020","6.26900291508636",NA,NA,NA
"Isolation","14.03.2020","7.83625364385794",NA,NA,NA
"Isolation","15.03.2020","8.61987900824374",NA,NA,NA
"Isolation","16.03.2020","14.8888819233301",NA,NA,NA
"Isolation","17.03.2020","17.2397580164875",NA,NA,NA
"Isolation","18.03.2020","20.3742594740307",NA,NA,NA
"Isolation","19.03.2020","26.643262389117",NA,NA,NA
"Isolation","20.03.2020","31.3450145754318",NA,NA,NA
"Isolation","21.03.2020","33.6958906685892",NA,NA,NA
"Isolation","22.03.2020","33.6958906685892",NA,NA,NA
"Isolation","23.03.2020","40.7485189480613",NA,NA,NA
"Isolation","24.03.2020","43.0993950412187",NA,NA,NA
"Isolation","25.03.2020","42.3157696768329",NA,NA,NA
"Isolation","26.03.2020","47.0175218631477",NA,NA,NA
"Isolation","27.03.2020","49.3683979563051",NA,NA,NA
"Isolation","28.03.2020","47.8011472275335",NA,NA,NA
"Isolation","29.03.2020","50.9356486850766",NA,NA,NA
"Isolation","30.03.2020","47.8011472275335",NA,NA,NA
"Isolation","31.03.2020","47.0175218631477",NA,NA,NA
"Isolation","01.04.2020","47.0175218631477",NA,NA,NA
"Isolation","02.04.2020","48.5847725919193",NA,NA,NA
"Isolation","03.04.2020","50.9356486850766",NA,NA,NA
"Isolation","04.04.2020","51.7192740494624",NA,NA,NA
"Isolation","05.04.2020","49.3683979563051",NA,NA,NA
"Isolation","06.04.2020","47.8011472275335",NA,NA,NA
"Isolation","07.04.2020","48.5847725919193",NA,NA,NA
"Isolation","08.04.2020","46.2338964987619",NA,NA,NA
"Isolation","09.04.2020","40.7485189480613",NA,NA,NA
"Isolation","10.04.2020","34.479516032975",NA,NA,NA
"Isolation","11.04.2020","32.1286399398176",NA,NA,NA
"Isolation","12.04.2020","30.561389211046",NA,NA,NA
"Isolation","13.04.2020","28.2105131178886",NA,NA,NA
"Isolation","14.04.2020","24.2923862959596",NA,NA,NA
"Isolation","15.04.2020","18.0233833808733",NA,NA,NA
"Isolation","16.04.2020","16.4561326521017",NA,NA,NA
"Isolation","17.04.2020","15.6725072877159",NA,NA,NA
"Isolation","18.04.2020","14.1052565589443",NA,NA,NA
"Isolation","19.04.2020","13.3216311945585",NA,NA,NA
"Isolation","20.04.2020","14.1052565589443",NA,NA,NA
"Isolation","21.04.2020","11.7543804657869",NA,NA,NA
"Isolation","22.04.2020","10.1871297370153",NA,NA,NA
"Isolation","23.04.2020","8.61987900824374",NA,NA,NA
"Isolation","24.04.2020","8.61987900824374",NA,NA,NA
"Isolation","25.04.2020","10.1871297370153",NA,NA,NA
"Isolation","26.04.2020","10.9707551014011",NA,NA,NA
"Isolation","27.04.2020","10.1871297370153",NA,NA,NA
"Isolation","28.04.2020","6.26900291508636",NA,NA,NA
"Isolation","29.04.2020","7.05262827947215",NA,NA,NA
"Isolation","30.04.2020","7.83625364385794",NA,NA,NA
"Isolation","01.05.2020","6.26900291508636",NA,NA,NA
"Isolation","02.05.2020","6.26900291508636",NA,NA,NA
"Isolation","03.05.2020","4.70175218631477",NA,NA,NA
"Isolation","04.05.2020","6.26900291508636",NA,NA,NA
"Isolation","05.05.2020","5.48537755070056",NA,NA,NA
"Isolation","06.05.2020","5.48537755070056",NA,NA,NA
"Isolation","07.05.2020","5.48537755070056",NA,NA,NA
"Isolation","08.05.2020","6.26900291508636",NA,NA,NA
"Isolation","09.05.2020","5.48537755070056",NA,NA,NA
"Isolation","10.05.2020","5.48537755070056",NA,NA,NA
"Isolation","11.05.2020","5.48537755070056",NA,NA,NA
"Isolation","12.05.2020","6.26900291508636",NA,NA,NA
"Isolation","13.05.2020","7.05262827947215",NA,NA,NA
"Isolation","14.05.2020","7.83625364385794",NA,NA,NA
"Isolation","15.05.2020","7.83625364385794",NA,NA,NA
"Isolation","16.05.2020","7.83625364385794",NA,NA,NA
"Isolation","17.05.2020","7.05262827947215",NA,NA,NA
"Isolation","18.05.2020","7.05262827947215",NA,NA,NA
"Isolation","19.05.2020","5.48537755070056",NA,NA,NA
"Isolation","20.05.2020","5.48537755070056",NA,NA,NA
"Isolation","21.05.2020","3.91812682192897",NA,NA,NA
"Isolation","22.05.2020","3.91812682192897",NA,NA,NA
"Isolation","23.05.2020","3.91812682192897",NA,NA,NA
"Isolation","24.05.2020","2.35087609315738",NA,NA,NA
"Isolation","25.05.2020","3.13450145754318",NA,NA,NA
"Isolation","26.05.2020","3.13450145754318",NA,NA,NA
"Isolation","27.05.2020","3.13450145754318",NA,NA,NA
"Isolation","28.05.2020","2.35087609315738",NA,NA,NA
"Isolation","29.05.2020","2.35087609315738",NA,NA,NA
"Isolation","30.05.2020","0.783625364385794",NA,NA,NA
"Isolation","31.05.2020","0.783625364385794",NA,NA,NA
"Isolation","01.06.2020","0.783625364385794",NA,NA,NA
"Isolation","02.06.2020","0",NA,NA,NA
"Isolation","03.06.2020","0",NA,NA,NA
"Isolation","04.06.2020","0",NA,NA,NA
"Isolation","05.06.2020","0",NA,NA,NA
"Isolation","06.06.2020","0",NA,NA,NA
"Isolation","07.06.2020","0",NA,NA,NA
"Isolation","08.06.2020","0.783625364385794",NA,NA,NA
"Isolation","09.06.2020","2.35087609315738",NA,NA,NA
"Isolation","10.06.2020","4.70175218631477",NA,NA,NA
"Isolation","11.06.2020","4.70175218631477",NA,NA,NA
"Isolation","12.06.2020","7.05262827947215",NA,NA,NA
"Isolation","13.06.2020","7.05262827947215",NA,NA,NA
"Isolation","14.06.2020","7.05262827947215",NA,NA,NA
"Isolation","15.06.2020","7.05262827947215",NA,NA,NA
"Isolation","16.06.2020","7.83625364385794",NA,NA,NA
"Isolation","17.06.2020","7.05262827947215",NA,NA,NA
"Isolation","18.06.2020","5.48537755070056",NA,NA,NA
"Isolation","19.06.2020","3.91812682192897",NA,NA,NA
"Isolation","20.06.2020","3.91812682192897",NA,NA,NA
"Isolation","21.06.2020","3.91812682192897",NA,NA,NA
"Isolation","22.06.2020","4.70175218631477",NA,NA,NA
"Isolation","23.06.2020","5.48537755070056",NA,NA,NA
"Isolation","24.06.2020","4.70175218631477",NA,NA,NA
"Isolation","25.06.2020","6.26900291508636",NA,NA,NA
"Isolation","26.06.2020","5.48537755070056",NA,NA,NA
"Isolation","27.06.2020","6.26900291508636",NA,NA,NA
"Isolation","28.06.2020","5.48537755070056",NA,NA,NA
"Isolation","29.06.2020","5.48537755070056",NA,NA,NA
"Isolation","30.06.2020","6.26900291508636",NA,NA,NA
"Isolation","01.07.2020","8.61987900824374",NA,NA,NA
"Isolation","02.07.2020","11.7543804657869",NA,NA,NA
"Isolation","03.07.2020","13.3216311945585",NA,NA,NA
"Isolation","04.07.2020","12.5380058301727",NA,NA,NA
"Isolation","05.07.2020","12.5380058301727",NA,NA,NA
"Isolation","06.07.2020","12.5380058301727",NA,NA,NA
"Isolation","07.07.2020","12.5380058301727",NA,NA,NA
"Isolation","08.07.2020","12.5380058301727",NA,NA,NA
"Isolation","09.07.2020","10.1871297370153",NA,NA,NA
"Isolation","10.07.2020","10.1871297370153",NA,NA,NA
"Isolation","11.07.2020","10.9707551014011",NA,NA,NA
"Isolation","12.07.2020","10.9707551014011",NA,NA,NA
"Isolation","13.07.2020","11.7543804657869",NA,NA,NA
"Isolation","14.07.2020","13.3216311945585",NA,NA,NA
"Isolation","15.07.2020","11.7543804657869",NA,NA,NA
"Isolation","16.07.2020","14.8888819233301",NA,NA,NA
"Isolation","17.07.2020","15.6725072877159",NA,NA,NA
"Isolation","18.07.2020","14.8888819233301",NA,NA,NA
"Isolation","19.07.2020","14.8888819233301",NA,NA,NA
"Isolation","20.07.2020","11.7543804657869",NA,NA,NA
"Isolation","21.07.2020","12.5380058301727",NA,NA,NA
"Isolation","22.07.2020","11.7543804657869",NA,NA,NA
"Isolation","23.07.2020","11.7543804657869",NA,NA,NA
"Isolation","24.07.2020","10.1871297370153",NA,NA,NA
"Isolation","25.07.2020","10.1871297370153",NA,NA,NA
"Isolation","26.07.2020","10.1871297370153",NA,NA,NA
"Isolation","27.07.2020","9.40350437262953",NA,NA,NA
"Isolation","28.07.2020","13.3216311945585",NA,NA,NA
"Isolation","29.07.2020","14.1052565589443",NA,NA,NA
"Isolation","30.07.2020","15.6725072877159",NA,NA,NA
"Isolation","31.07.2020","16.4561326521017",NA,NA,NA
"Isolation","01.08.2020","17.2397580164875",NA,NA,NA
"Isolation","02.08.2020","13.3216311945585",NA,NA,NA
"Isolation","03.08.2020","13.3216311945585",NA,NA,NA
"Isolation","04.08.2020","11.7543804657869",NA,NA,NA
"Isolation","05.08.2020","10.9707551014011",NA,NA,NA
"Isolation","06.08.2020","10.9707551014011",NA,NA,NA
"Isolation","07.08.2020","11.7543804657869",NA,NA,NA
"Isolation","08.08.2020","9.40350437262953",NA,NA,NA
"Isolation","09.08.2020","9.40350437262953",NA,NA,NA
"Isolation","10.08.2020","5.48537755070056",NA,NA,NA
"Isolation","11.08.2020","8.61987900824374",NA,NA,NA
"Isolation","12.08.2020","10.1871297370153",NA,NA,NA
"Isolation","13.08.2020","13.3216311945585",NA,NA,NA
"Isolation","14.08.2020","14.1052565589443",NA,NA,NA
"Isolation","15.08.2020","14.8888819233301",NA,NA,NA
"Isolation","16.08.2020","14.8888819233301",NA,NA,NA
"Isolation","17.08.2020","14.1052565589443",NA,NA,NA
"Isolation","18.08.2020","12.5380058301727",NA,NA,NA
"Isolation","19.08.2020","11.7543804657869",NA,NA,NA
"Isolation","20.08.2020","12.5380058301727",NA,NA,NA
"Isolation","21.08.2020","18.0233833808733",NA,NA,NA
