"Typ","Datum","Anzahl","Meta","Type","Content"
"Isolation","01.03.2020","0",NA,NA,NA
"Isolation","02.03.2020","2",NA,NA,NA
"Isolation","03.03.2020","2",NA,NA,NA
"Isolation","04.03.2020","2",NA,NA,NA
"Isolation","05.03.2020","3",NA,NA,NA
"Isolation","06.03.2020","3",NA,NA,NA
"Isolation","07.03.2020","5",NA,NA,NA
"Isolation","08.03.2020","7",NA,NA,NA
"Isolation","09.03.2020","7",NA,NA,NA
"Isolation","10.03.2020","7",NA,NA,NA
"Isolation","11.03.2020","6",NA,NA,NA
"Isolation","12.03.2020","6",NA,NA,NA
"Isolation","13.03.2020","8",NA,NA,NA
"Isolation","14.03.2020","10",NA,NA,NA
"Isolation","15.03.2020","11",NA,NA,NA
"Isolation","16.03.2020","19",NA,NA,NA
"Isolation","17.03.2020","22",NA,NA,NA
"Isolation","18.03.2020","26",NA,NA,NA
"Isolation","19.03.2020","34",NA,NA,NA
"Isolation","20.03.2020","40",NA,NA,NA
"Isolation","21.03.2020","43",NA,NA,NA
"Isolation","22.03.2020","43",NA,NA,NA
"Isolation","23.03.2020","52",NA,NA,NA
"Isolation","24.03.2020","55",NA,NA,NA
"Isolation","25.03.2020","54",NA,NA,NA
"Isolation","26.03.2020","60",NA,NA,NA
"Isolation","27.03.2020","63",NA,NA,NA
"Isolation","28.03.2020","61",NA,NA,NA
"Isolation","29.03.2020","65",NA,NA,NA
"Isolation","30.03.2020","61",NA,NA,NA
"Isolation","31.03.2020","60",NA,NA,NA
"Isolation","01.04.2020","60",NA,NA,NA
"Isolation","02.04.2020","62",NA,NA,NA
"Isolation","03.04.2020","65",NA,NA,NA
"Isolation","04.04.2020","66",NA,NA,NA
"Isolation","05.04.2020","63",NA,NA,NA
"Isolation","06.04.2020","61",NA,NA,NA
"Isolation","07.04.2020","62",NA,NA,NA
"Isolation","08.04.2020","59",NA,NA,NA
"Isolation","09.04.2020","52",NA,NA,NA
"Isolation","10.04.2020","44",NA,NA,NA
"Isolation","11.04.2020","41",NA,NA,NA
"Isolation","12.04.2020","39",NA,NA,NA
"Isolation","13.04.2020","36",NA,NA,NA
"Isolation","14.04.2020","31",NA,NA,NA
"Isolation","15.04.2020","23",NA,NA,NA
"Isolation","16.04.2020","21",NA,NA,NA
"Isolation","17.04.2020","20",NA,NA,NA
"Isolation","18.04.2020","18",NA,NA,NA
"Isolation","19.04.2020","17",NA,NA,NA
"Isolation","20.04.2020","18",NA,NA,NA
"Isolation","21.04.2020","15",NA,NA,NA
"Isolation","22.04.2020","13",NA,NA,NA
"Isolation","23.04.2020","11",NA,NA,NA
"Isolation","24.04.2020","11",NA,NA,NA
"Isolation","25.04.2020","13",NA,NA,NA
"Isolation","26.04.2020","14",NA,NA,NA
"Isolation","27.04.2020","13",NA,NA,NA
"Isolation","28.04.2020","8",NA,NA,NA
"Isolation","29.04.2020","9",NA,NA,NA
"Isolation","30.04.2020","10",NA,NA,NA
"Isolation","01.05.2020","8",NA,NA,NA
"Isolation","02.05.2020","8",NA,NA,NA
"Isolation","03.05.2020","6",NA,NA,NA
"Isolation","04.05.2020","8",NA,NA,NA
"Isolation","05.05.2020","7",NA,NA,NA
"Isolation","06.05.2020","7",NA,NA,NA
"Isolation","07.05.2020","7",NA,NA,NA
"Isolation","08.05.2020","8",NA,NA,NA
"Isolation","09.05.2020","7",NA,NA,NA
"Isolation","10.05.2020","7",NA,NA,NA
"Isolation","11.05.2020","7",NA,NA,NA
"Isolation","12.05.2020","8",NA,NA,NA
"Isolation","13.05.2020","9",NA,NA,NA
"Isolation","14.05.2020","10",NA,NA,NA
"Isolation","15.05.2020","10",NA,NA,NA
"Isolation","16.05.2020","10",NA,NA,NA
"Isolation","17.05.2020","9",NA,NA,NA
"Isolation","18.05.2020","9",NA,NA,NA
"Isolation","19.05.2020","7",NA,NA,NA
"Isolation","20.05.2020","7",NA,NA,NA
"Isolation","21.05.2020","5",NA,NA,NA
"Isolation","22.05.2020","5",NA,NA,NA
"Isolation","23.05.2020","5",NA,NA,NA
"Isolation","24.05.2020","3",NA,NA,NA
"Isolation","25.05.2020","4",NA,NA,NA
"Isolation","26.05.2020","4",NA,NA,NA
"Isolation","27.05.2020","4",NA,NA,NA
"Isolation","28.05.2020","3",NA,NA,NA
"Isolation","29.05.2020","3",NA,NA,NA
"Isolation","30.05.2020","1",NA,NA,NA
"Isolation","31.05.2020","1",NA,NA,NA
"Isolation","01.06.2020","1",NA,NA,NA
"Isolation","02.06.2020","0",NA,NA,NA
"Isolation","03.06.2020","0",NA,NA,NA
"Isolation","04.06.2020","0",NA,NA,NA
"Isolation","05.06.2020","0",NA,NA,NA
"Isolation","06.06.2020","0",NA,NA,NA
"Isolation","07.06.2020","0",NA,NA,NA
"Isolation","08.06.2020","1",NA,NA,NA
"Isolation","09.06.2020","3",NA,NA,NA
"Isolation","10.06.2020","6",NA,NA,NA
"Isolation","11.06.2020","6",NA,NA,NA
"Isolation","12.06.2020","9",NA,NA,NA
"Isolation","13.06.2020","9",NA,NA,NA
"Isolation","14.06.2020","9",NA,NA,NA
"Isolation","15.06.2020","9",NA,NA,NA
"Isolation","16.06.2020","10",NA,NA,NA
"Isolation","17.06.2020","9",NA,NA,NA
"Isolation","18.06.2020","7",NA,NA,NA
"Isolation","19.06.2020","5",NA,NA,NA
"Isolation","20.06.2020","5",NA,NA,NA
"Isolation","21.06.2020","5",NA,NA,NA
"Isolation","22.06.2020","6",NA,NA,NA
