"Woche","Altersklasse","Inzidenz pro 100'000","Meta","Type","Content"
2020-02-24,"0 - 9 Jahre","0",NA,NA,NA
2020-03-02,"0 - 9 Jahre","0",NA,NA,NA
2020-03-09,"0 - 9 Jahre","0",NA,NA,NA
2020-03-16,"0 - 9 Jahre","0",NA,NA,NA
2020-03-23,"0 - 9 Jahre","0",NA,NA,NA
2020-03-30,"0 - 9 Jahre","0",NA,NA,NA
2020-04-06,"0 - 9 Jahre","0",NA,NA,NA
2020-04-13,"0 - 9 Jahre","0",NA,NA,NA
2020-04-20,"0 - 9 Jahre","0",NA,NA,NA
2020-04-27,"0 - 9 Jahre","0",NA,NA,NA
2020-05-04,"0 - 9 Jahre","0",NA,NA,NA
2020-05-11,"0 - 9 Jahre","0",NA,NA,NA
2020-05-18,"0 - 9 Jahre","0",NA,NA,NA
2020-05-25,"0 - 9 Jahre","0",NA,NA,NA
2020-06-01,"0 - 9 Jahre","0",NA,NA,NA
2020-06-08,"0 - 9 Jahre","7.57",NA,NA,NA
2020-06-15,"0 - 9 Jahre","7.57",NA,NA,NA
2020-06-22,"0 - 9 Jahre","0",NA,NA,NA
2020-06-29,"0 - 9 Jahre","0",NA,NA,NA
2020-07-06,"0 - 9 Jahre","0",NA,NA,NA
2020-07-13,"0 - 9 Jahre","0",NA,NA,NA
2020-07-20,"0 - 9 Jahre","0",NA,NA,NA
2020-07-27,"0 - 9 Jahre","0",NA,NA,NA
2020-08-03,"0 - 9 Jahre","7.57",NA,NA,NA
2020-08-10,"0 - 9 Jahre","0",NA,NA,NA
2020-08-17,"0 - 9 Jahre","0",NA,NA,NA
2020-08-24,"0 - 9 Jahre","0",NA,NA,NA
2020-08-31,"0 - 9 Jahre","0",NA,NA,NA
2020-09-07,"0 - 9 Jahre","0",NA,NA,NA
2020-09-14,"0 - 9 Jahre","0",NA,NA,NA
2020-09-21,"0 - 9 Jahre","0",NA,NA,NA
2020-09-28,"0 - 9 Jahre","0",NA,NA,NA
2020-10-05,"0 - 9 Jahre","15.14",NA,NA,NA
2020-10-12,"0 - 9 Jahre","7.57",NA,NA,NA
