"Woche","Altersklasse","Anzahl Fälle","Meta","Type","Content"
2020-03-23,"0 - 9 Jahre","0",NA,NA,NA
2020-03-23,"10 - 19 Jahre","0",NA,NA,NA
2020-03-23,"20 - 29 Jahre","0",NA,NA,NA
2020-03-23,"30 - 39 Jahre","0",NA,NA,NA
2020-03-23,"40 - 49 Jahre","0",NA,NA,NA
2020-03-23,"50 - 59 Jahre","0",NA,NA,NA
2020-03-23,"60 - 69 Jahre","0",NA,NA,NA
2020-03-23,"70 - 79 Jahre","1",NA,NA,NA
2020-03-23,"80+ Jahre","0",NA,NA,NA
2020-03-30,"0 - 9 Jahre","0",NA,NA,NA
2020-03-30,"10 - 19 Jahre","0",NA,NA,NA
2020-03-30,"20 - 29 Jahre","0",NA,NA,NA
2020-03-30,"30 - 39 Jahre","0",NA,NA,NA
2020-03-30,"40 - 49 Jahre","0",NA,NA,NA
2020-03-30,"50 - 59 Jahre","0",NA,NA,NA
2020-03-30,"60 - 69 Jahre","0",NA,NA,NA
2020-03-30,"70 - 79 Jahre","1",NA,NA,NA
2020-03-30,"80+ Jahre","1",NA,NA,NA
2020-04-06,"0 - 9 Jahre","0",NA,NA,NA
2020-04-06,"10 - 19 Jahre","0",NA,NA,NA
2020-04-06,"20 - 29 Jahre","0",NA,NA,NA
2020-04-06,"30 - 39 Jahre","0",NA,NA,NA
2020-04-06,"40 - 49 Jahre","0",NA,NA,NA
2020-04-06,"50 - 59 Jahre","0",NA,NA,NA
2020-04-06,"60 - 69 Jahre","0",NA,NA,NA
2020-04-06,"70 - 79 Jahre","1",NA,NA,NA
2020-04-06,"80+ Jahre","1",NA,NA,NA
2020-04-13,"0 - 9 Jahre","0",NA,NA,NA
2020-04-13,"10 - 19 Jahre","0",NA,NA,NA
2020-04-13,"20 - 29 Jahre","0",NA,NA,NA
2020-04-13,"30 - 39 Jahre","0",NA,NA,NA
2020-04-13,"40 - 49 Jahre","0",NA,NA,NA
2020-04-13,"50 - 59 Jahre","0",NA,NA,NA
2020-04-13,"60 - 69 Jahre","0",NA,NA,NA
2020-04-13,"70 - 79 Jahre","0",NA,NA,NA
2020-04-13,"80+ Jahre","2",NA,NA,NA
2020-04-20,"0 - 9 Jahre","0",NA,NA,NA
2020-04-20,"10 - 19 Jahre","0",NA,NA,NA
2020-04-20,"20 - 29 Jahre","0",NA,NA,NA
2020-04-20,"30 - 39 Jahre","0",NA,NA,NA
2020-04-20,"40 - 49 Jahre","0",NA,NA,NA
2020-04-20,"50 - 59 Jahre","0",NA,NA,NA
2020-04-20,"60 - 69 Jahre","1",NA,NA,NA
2020-04-20,"70 - 79 Jahre","0",NA,NA,NA
2020-04-20,"80+ Jahre","0",NA,NA,NA
2020-04-27,"0 - 9 Jahre","0",NA,NA,NA
2020-04-27,"10 - 19 Jahre","0",NA,NA,NA
2020-04-27,"20 - 29 Jahre","0",NA,NA,NA
2020-04-27,"30 - 39 Jahre","0",NA,NA,NA
2020-04-27,"40 - 49 Jahre","0",NA,NA,NA
2020-04-27,"50 - 59 Jahre","0",NA,NA,NA
2020-04-27,"60 - 69 Jahre","0",NA,NA,NA
2020-04-27,"70 - 79 Jahre","0",NA,NA,NA
2020-04-27,"80+ Jahre","0",NA,NA,NA
2020-05-04,"0 - 9 Jahre","0",NA,NA,NA
2020-05-04,"10 - 19 Jahre","0",NA,NA,NA
2020-05-04,"20 - 29 Jahre","0",NA,NA,NA
2020-05-04,"30 - 39 Jahre","0",NA,NA,NA
2020-05-04,"40 - 49 Jahre","0",NA,NA,NA
2020-05-04,"50 - 59 Jahre","0",NA,NA,NA
2020-05-04,"60 - 69 Jahre","0",NA,NA,NA
2020-05-04,"70 - 79 Jahre","0",NA,NA,NA
2020-05-04,"80+ Jahre","0",NA,NA,NA
2020-05-11,"0 - 9 Jahre","0",NA,NA,NA
2020-05-11,"10 - 19 Jahre","0",NA,NA,NA
2020-05-11,"20 - 29 Jahre","0",NA,NA,NA
2020-05-11,"30 - 39 Jahre","0",NA,NA,NA
2020-05-11,"40 - 49 Jahre","0",NA,NA,NA
2020-05-11,"50 - 59 Jahre","0",NA,NA,NA
2020-05-11,"60 - 69 Jahre","0",NA,NA,NA
2020-05-11,"70 - 79 Jahre","0",NA,NA,NA
2020-05-11,"80+ Jahre","0",NA,NA,NA
2020-05-18,"0 - 9 Jahre","0",NA,NA,NA
2020-05-18,"10 - 19 Jahre","0",NA,NA,NA
2020-05-18,"20 - 29 Jahre","0",NA,NA,NA
2020-05-18,"30 - 39 Jahre","0",NA,NA,NA
2020-05-18,"40 - 49 Jahre","0",NA,NA,NA
2020-05-18,"50 - 59 Jahre","1",NA,NA,NA
2020-05-18,"60 - 69 Jahre","0",NA,NA,NA
2020-05-18,"70 - 79 Jahre","0",NA,NA,NA
2020-05-18,"80+ Jahre","0",NA,NA,NA
2020-05-25,"0 - 9 Jahre","0",NA,NA,NA
2020-05-25,"10 - 19 Jahre","0",NA,NA,NA
2020-05-25,"20 - 29 Jahre","0",NA,NA,NA
2020-05-25,"30 - 39 Jahre","0",NA,NA,NA
2020-05-25,"40 - 49 Jahre","0",NA,NA,NA
2020-05-25,"50 - 59 Jahre","0",NA,NA,NA
2020-05-25,"60 - 69 Jahre","0",NA,NA,NA
2020-05-25,"70 - 79 Jahre","0",NA,NA,NA
2020-05-25,"80+ Jahre","0",NA,NA,NA
2020-06-01,"0 - 9 Jahre","0",NA,NA,NA
2020-06-01,"10 - 19 Jahre","0",NA,NA,NA
2020-06-01,"20 - 29 Jahre","0",NA,NA,NA
2020-06-01,"30 - 39 Jahre","0",NA,NA,NA
2020-06-01,"40 - 49 Jahre","0",NA,NA,NA
2020-06-01,"50 - 59 Jahre","0",NA,NA,NA
2020-06-01,"60 - 69 Jahre","0",NA,NA,NA
2020-06-01,"70 - 79 Jahre","0",NA,NA,NA
2020-06-01,"80+ Jahre","0",NA,NA,NA
2020-06-08,"0 - 9 Jahre","0",NA,NA,NA
2020-06-08,"10 - 19 Jahre","0",NA,NA,NA
2020-06-08,"20 - 29 Jahre","0",NA,NA,NA
2020-06-08,"30 - 39 Jahre","0",NA,NA,NA
2020-06-08,"40 - 49 Jahre","0",NA,NA,NA
2020-06-08,"50 - 59 Jahre","0",NA,NA,NA
2020-06-08,"60 - 69 Jahre","0",NA,NA,NA
2020-06-08,"70 - 79 Jahre","0",NA,NA,NA
2020-06-08,"80+ Jahre","0",NA,NA,NA
2020-06-15,"0 - 9 Jahre","0",NA,NA,NA
2020-06-15,"10 - 19 Jahre","0",NA,NA,NA
2020-06-15,"20 - 29 Jahre","0",NA,NA,NA
2020-06-15,"30 - 39 Jahre","0",NA,NA,NA
2020-06-15,"40 - 49 Jahre","0",NA,NA,NA
2020-06-15,"50 - 59 Jahre","0",NA,NA,NA
2020-06-15,"60 - 69 Jahre","0",NA,NA,NA
2020-06-15,"70 - 79 Jahre","0",NA,NA,NA
2020-06-15,"80+ Jahre","0",NA,NA,NA
2020-06-22,"0 - 9 Jahre","0",NA,NA,NA
2020-06-22,"10 - 19 Jahre","0",NA,NA,NA
2020-06-22,"20 - 29 Jahre","0",NA,NA,NA
2020-06-22,"30 - 39 Jahre","0",NA,NA,NA
