"Woche","Geschlecht","Anzahl Fälle","Meta","Type","Content"
2020-05-25,"männlich","151",NA,NA,NA
2020-06-01,"männlich","117",NA,NA,NA
2020-06-08,"männlich","253",NA,NA,NA
2020-06-15,"männlich","310",NA,NA,NA
2020-06-22,"männlich","353",NA,NA,NA
2020-06-29,"männlich","557",NA,NA,NA
2020-07-06,"männlich","378",NA,NA,NA
2020-07-13,"männlich","365",NA,NA,NA
2020-07-20,"männlich","486",NA,NA,NA
2020-07-27,"männlich","379",NA,NA,NA
2020-08-03,"männlich","273",NA,NA,NA
2020-08-10,"männlich","308",NA,NA,NA
2020-08-17,"männlich","339",NA,NA,NA
2020-08-24,"männlich","439",NA,NA,NA
2020-08-31,"männlich","564",NA,NA,NA
2020-09-07,"männlich","587",NA,NA,NA
2020-09-14,"männlich","520",NA,NA,NA
2020-09-21,"männlich","446",NA,NA,NA
2020-09-28,"männlich","609",NA,NA,NA
2020-10-05,"männlich","800",NA,NA,NA
2020-10-12,"männlich","1110",NA,NA,NA
2020-10-19,"männlich","1495",NA,NA,NA
2020-10-26,"männlich","1401",NA,NA,NA
2020-11-02,"männlich","1267",NA,NA,NA
2020-11-09,"männlich","1063",NA,NA,NA
2020-11-16,"männlich","1112",NA,NA,NA
2020-11-23,"männlich","1165",NA,NA,NA
2020-11-30,"männlich","1201",NA,NA,NA
2020-12-07,"männlich","1333",NA,NA,NA
2020-12-14,"männlich","2006",NA,NA,NA
2020-12-21,"männlich","1487",NA,NA,NA
2020-12-28,"männlich","992",NA,NA,NA
2021-01-04,"männlich","1168",NA,NA,NA
2021-01-11,"männlich","1064",NA,NA,NA
2021-01-18,"männlich","1219",NA,NA,NA
2021-01-25,"männlich","1116",NA,NA,NA
2021-02-01,"männlich","1465",NA,NA,NA
2021-02-08,"männlich","1404",NA,NA,NA
2021-02-15,"männlich","1140",NA,NA,NA
2021-02-22,"männlich","1783",NA,NA,NA
2021-03-01,"männlich","141",NA,NA,NA
2020-05-25,"weiblich","105",NA,NA,NA
2020-06-01,"weiblich","130",NA,NA,NA
2020-06-08,"weiblich","250",NA,NA,NA
2020-06-15,"weiblich","336",NA,NA,NA
2020-06-22,"weiblich","307",NA,NA,NA
2020-06-29,"weiblich","435",NA,NA,NA
2020-07-06,"weiblich","473",NA,NA,NA
2020-07-13,"weiblich","411",NA,NA,NA
2020-07-20,"weiblich","339",NA,NA,NA
2020-07-27,"weiblich","224",NA,NA,NA
2020-08-03,"weiblich","250",NA,NA,NA
2020-08-10,"weiblich","250",NA,NA,NA
2020-08-17,"weiblich","346",NA,NA,NA
2020-08-24,"weiblich","443",NA,NA,NA
2020-08-31,"weiblich","590",NA,NA,NA
2020-09-07,"weiblich","566",NA,NA,NA
2020-09-14,"weiblich","544",NA,NA,NA
2020-09-21,"weiblich","436",NA,NA,NA
2020-09-28,"weiblich","536",NA,NA,NA
2020-10-05,"weiblich","779",NA,NA,NA
2020-10-12,"weiblich","970",NA,NA,NA
2020-10-19,"weiblich","1292",NA,NA,NA
2020-10-26,"weiblich","1315",NA,NA,NA
2020-11-02,"weiblich","1229",NA,NA,NA
2020-11-09,"weiblich","1098",NA,NA,NA
2020-11-16,"weiblich","1143",NA,NA,NA
2020-11-23,"weiblich","1110",NA,NA,NA
2020-11-30,"weiblich","1167",NA,NA,NA
2020-12-07,"weiblich","1270",NA,NA,NA
2020-12-14,"weiblich","1918",NA,NA,NA
2020-12-21,"weiblich","1494",NA,NA,NA
2020-12-28,"weiblich","1116",NA,NA,NA
2021-01-04,"weiblich","1296",NA,NA,NA
2021-01-11,"weiblich","1066",NA,NA,NA
2021-01-18,"weiblich","1097",NA,NA,NA
2021-01-25,"weiblich","1148",NA,NA,NA
2021-02-01,"weiblich","1572",NA,NA,NA
2021-02-08,"weiblich","1211",NA,NA,NA
2021-02-15,"weiblich","1016",NA,NA,NA
2021-02-22,"weiblich","1748",NA,NA,NA
2021-03-01,"weiblich","117",NA,NA,NA
2020-05-25,"Unbekannt","0",NA,NA,NA
2020-06-01,"Unbekannt","0",NA,NA,NA
2020-06-08,"Unbekannt","0",NA,NA,NA
2020-06-15,"Unbekannt","0",NA,NA,NA
2020-06-22,"Unbekannt","0",NA,NA,NA
2020-06-29,"Unbekannt","0",NA,NA,NA
2020-07-06,"Unbekannt","0",NA,NA,NA
2020-07-13,"Unbekannt","0",NA,NA,NA
2020-07-20,"Unbekannt","0",NA,NA,NA
2020-07-27,"Unbekannt","0",NA,NA,NA
2020-08-03,"Unbekannt","0",NA,NA,NA
2020-08-10,"Unbekannt","0",NA,NA,NA
2020-08-17,"Unbekannt","0",NA,NA,NA
2020-08-24,"Unbekannt","0",NA,NA,NA
2020-08-31,"Unbekannt","0",NA,NA,NA
2020-09-07,"Unbekannt","0",NA,NA,NA
2020-09-14,"Unbekannt","0",NA,NA,NA
2020-09-21,"Unbekannt","0",NA,NA,NA
2020-09-28,"Unbekannt","0",NA,NA,NA
2020-10-05,"Unbekannt","0",NA,NA,NA
2020-10-12,"Unbekannt","0",NA,NA,NA
2020-10-19,"Unbekannt","1",NA,NA,NA
2020-10-26,"Unbekannt","0",NA,NA,NA
2020-11-02,"Unbekannt","0",NA,NA,NA
2020-11-09,"Unbekannt","0",NA,NA,NA
2020-11-16,"Unbekannt","0",NA,NA,NA
2020-11-23,"Unbekannt","0",NA,NA,NA
2020-11-30,"Unbekannt","0",NA,NA,NA
2020-12-07,"Unbekannt","0",NA,NA,NA
2020-12-14,"Unbekannt","0",NA,NA,NA
2020-12-21,"Unbekannt","0",NA,NA,NA
2020-12-28,"Unbekannt","1",NA,NA,NA
2021-01-04,"Unbekannt","1",NA,NA,NA
2021-01-11,"Unbekannt","1",NA,NA,NA
2021-01-18,"Unbekannt","0",NA,NA,NA
2021-01-25,"Unbekannt","2",NA,NA,NA
2021-02-01,"Unbekannt","1",NA,NA,NA
2021-02-08,"Unbekannt","1",NA,NA,NA
2021-02-15,"Unbekannt","0",NA,NA,NA
2021-02-22,"Unbekannt","0",NA,NA,NA
2021-03-01,"Unbekannt","0",NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,integer"
NA,NA,NA,"1","title","Durchgeführte COVID-19-Tests nach Geschlecht im Zeitverlauf"
NA,NA,NA,"1","subtitle","Datenstand: 02.03.2021"
