"Woche","Gemeinde","Anzahl Fälle","Meta","Type","Content"
2020-03-09,"Baar","2",NA,NA,NA
2020-03-16,"Baar","3",NA,NA,NA
2020-03-23,"Baar","4",NA,NA,NA
2020-03-30,"Baar","16",NA,NA,NA
2020-04-06,"Baar","3",NA,NA,NA
2020-04-13,"Baar","1",NA,NA,NA
2020-04-20,"Baar","1",NA,NA,NA
2020-04-27,"Baar","2",NA,NA,NA
2020-05-04,"Baar","1",NA,NA,NA
2020-06-22,"Baar","1",NA,NA,NA
2020-06-29,"Baar","7",NA,NA,NA
2020-07-06,"Baar","6",NA,NA,NA
2020-07-13,"Baar","5",NA,NA,NA
2020-07-20,"Baar","3",NA,NA,NA
2020-07-27,"Baar","3",NA,NA,NA
2020-08-03,"Baar","2",NA,NA,NA
2020-08-10,"Baar","4",NA,NA,NA
2020-08-17,"Baar","6",NA,NA,NA
2020-08-24,"Baar","3",NA,NA,NA
2020-08-31,"Baar","5",NA,NA,NA
2020-09-07,"Baar","3",NA,NA,NA
2020-09-21,"Baar","5",NA,NA,NA
2020-09-28,"Baar","11",NA,NA,NA
2020-10-05,"Baar","26",NA,NA,NA
2020-10-12,"Baar","52",NA,NA,NA
2020-10-19,"Baar","95",NA,NA,NA
2020-10-26,"Baar","91",NA,NA,NA
2020-11-02,"Baar","102",NA,NA,NA
2020-11-09,"Baar","76",NA,NA,NA
2020-11-16,"Baar","77",NA,NA,NA
2020-11-23,"Baar","75",NA,NA,NA
2020-11-30,"Baar","82",NA,NA,NA
2020-12-07,"Baar","75",NA,NA,NA
2020-12-14,"Baar","79",NA,NA,NA
2020-12-21,"Baar","60",NA,NA,NA
2020-12-28,"Baar","80",NA,NA,NA
2021-01-04,"Baar","67",NA,NA,NA
2021-01-11,"Baar","35",NA,NA,NA
2021-01-18,"Baar","36",NA,NA,NA
2021-01-25,"Baar","38",NA,NA,NA
2021-02-01,"Baar","49",NA,NA,NA
2021-02-08,"Baar","44",NA,NA,NA
2021-02-15,"Baar","19",NA,NA,NA
2021-02-22,"Baar","22",NA,NA,NA
2021-03-01,"Baar","24",NA,NA,NA
2020-03-16,"Cham","2",NA,NA,NA
2020-03-23,"Cham","8",NA,NA,NA
2020-03-30,"Cham","6",NA,NA,NA
2020-04-06,"Cham","1",NA,NA,NA
2020-04-20,"Cham","2",NA,NA,NA
2020-04-27,"Cham","2",NA,NA,NA
2020-05-11,"Cham","2",NA,NA,NA
2020-06-01,"Cham","1",NA,NA,NA
2020-06-15,"Cham","1",NA,NA,NA
2020-06-29,"Cham","1",NA,NA,NA
2020-07-06,"Cham","2",NA,NA,NA
2020-07-13,"Cham","1",NA,NA,NA
2020-07-20,"Cham","2",NA,NA,NA
2020-07-27,"Cham","4",NA,NA,NA
2020-08-03,"Cham","1",NA,NA,NA
2020-08-10,"Cham","2",NA,NA,NA
