"Altersklasse","Anzahl Fälle","Meta","Type","Content"
"0 - 9 Jahre","32",NA,NA,NA
"10 - 19 Jahre","366",NA,NA,NA
"20 - 29 Jahre","710",NA,NA,NA
"30 - 39 Jahre","616",NA,NA,NA
"40 - 49 Jahre","589",NA,NA,NA
"50 - 59 Jahre","690",NA,NA,NA
"60 - 69 Jahre","379",NA,NA,NA
"70 - 79 Jahre","240",NA,NA,NA
"80+ Jahre","229",NA,NA,NA
"Unbekannt","0",NA,NA,NA
NA,NA,"1","datatypes","string,integer"
NA,NA,"1","title","Positiv getestete Personen nach Alterskategorien im Total"
NA,NA,"1","subtitle","Datenstand: 11.12.2020"
NA,NA,"1","description","Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen."
NA,NA,"1","source","Bundesamt für Gesundheit"
