"Altersklasse","Inzidenz pro 100'000","Meta","Type","Content"
"0 - 9 Jahre","7.57",NA,NA,NA
"10 - 19 Jahre","15.76",NA,NA,NA
"20 - 29 Jahre","52.15",NA,NA,NA
"30 - 39 Jahre","0",NA,NA,NA
"40 - 49 Jahre","15.45",NA,NA,NA
"50 - 59 Jahre","67.3",NA,NA,NA
"60 - 69 Jahre","109.05",NA,NA,NA
"70 - 79 Jahre","187.97",NA,NA,NA
"80+ Jahre","324.95",NA,NA,NA
NA,NA,"1","datatypes","string,float"
NA,NA,"1","title","Hospitalisierungen aufgrund von COVID-19 nach Alterskategorien im Total pro 100'000"
NA,NA,"1","subtitle","Datenstand: 15.12.2020"
NA,NA,"1","description","Die Inzidenz wird jeweils pro 100'000 Personen in der entsprechenden Alterklasse ausgewiesen. Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen. Hospitalisierungen werden beim BAG mit zeitlicher Verzögerung registriert, diese Zahlen umfassen noch nicht alle im Kanton registrierten Fälle."
NA,NA,"1","source","Bundesamt für Gesundheit"
