"Gemeinde","Anzahl Fälle","Meta","Type","Content"
"Baar","1401",NA,NA,NA
"Cham","838",NA,NA,NA
"Hünenberg","389",NA,NA,NA
"Menzingen","263",NA,NA,NA
"Neuheim","94",NA,NA,NA
"Oberägeri","300",NA,NA,NA
"Risch","586",NA,NA,NA
"Steinhausen","565",NA,NA,NA
"Unterägeri","431",NA,NA,NA
"Walchwil","156",NA,NA,NA
"Zug","1488",NA,NA,NA
NA,NA,"1","datatypes","string,integer"
NA,NA,"1","title","Positiv getestete Personen nach Gemeinde im Total"
NA,NA,"1","subtitle","Datenstand: 08.03.2021"
NA,NA,"1","description","Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen."
NA,NA,"1","source","ISM, Bundesamt für Gesundheit"
