"Gemeinde","Inzidenz pro 100'000","Meta","Type","Content"
"Baar","3546.32977210871",NA,NA,NA
"Cham","2965.72544841058",NA,NA,NA
"Hünenberg","2185.79234972678",NA,NA,NA
"Menzingen","3361.8984838497",NA,NA,NA
"Neuheim","3039.78542691104",NA,NA,NA
"Oberägeri","3811.65919282511",NA,NA,NA
"Risch","3057.32484076433",NA,NA,NA
"Steinhausen","3741.7316615658",NA,NA,NA
"Unterägeri","3304.01443391971",NA,NA,NA
"Walchwil","2317.43465373215",NA,NA,NA
"Zug","3125.61238487164",NA,NA,NA
NA,NA,"1","datatypes","string,float"
NA,NA,"1","title","Positiv getestete Personen nach Gemeinde im Total pro 100'000"
NA,NA,"1","subtitle","Datenstand: 15.12.2020"
NA,NA,"1","description","Die Inzidenz wird jeweils pro 100'000 Personen in der entsprechenden Gemeinde ausgewiesen. Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen."
NA,NA,"1","source","ISM, Bundesamt für Gesundheit"
