"Vermutete Ansteckungsquelle","Anzahl","Meta","Type","Content"
"Familie und Freunde","1467",NA,NA,NA
"Reisen","65",NA,NA,NA
"Sport","43",NA,NA,NA
"Vereine (ohne Sport)","0",NA,NA,NA
"Veranstaltungen","17",NA,NA,NA
"Arbeit (ohne Gesundheits- und Bildungseinrichtungen und soziale Institutionen)","311",NA,NA,NA
"Soziale Institutionen (inkl. Pflegeheime)","383",NA,NA,NA
"Gesundheitseinrichungen (ohne Pflegeheime)","127",NA,NA,NA
"Bildungseinrichtungen","228",NA,NA,NA
"Restaurationsbetriebe","17",NA,NA,NA
"Anderes","27",NA,NA,NA
"Keine Vermutung zur Ansteckungsquelle","1430",NA,NA,NA
NA,NA,"1","datatypes","string,integer"
NA,NA,"1","title","Vermutete Ansteckungsquellen"
NA,NA,"1","subtitle","Mehrfachnennungen möglich, Datenstand: 02.03.2021 00:00"
NA,NA,"1","description","Die Ansteckungsquelle wird im Contact Tracing seit dem 23.11.2020 systematisch erhoben. Vorher erfasst Fälle wurden soweit möglich nachcodiert, Informationen vor dem 25.10.2020 wurden aus Zeitgründen noch nicht codiert. Auch nach dem 23.11.2020 liegt die Information bei einigen Fällen nicht vor, da die entsprechenden Fragen nicht in jedem Fall gestellt werden können."
NA,NA,"1","source","Kanton Zug, Amt für Gesundheit"
