"Datum","Typ","Anzahl","Meta","Type","Content"
"23.12.2020","Total verimpfte Dosen","250",NA,NA,NA
"24.12.2020","Total verimpfte Dosen","250",NA,NA,NA
"25.12.2020","Total verimpfte Dosen","250",NA,NA,NA
"26.12.2020","Total verimpfte Dosen","250",NA,NA,NA
"27.12.2020","Total verimpfte Dosen","250",NA,NA,NA
"28.12.2020","Total verimpfte Dosen","250",NA,NA,NA
"29.12.2020","Total verimpfte Dosen","350",NA,NA,NA
"30.12.2020","Total verimpfte Dosen","350",NA,NA,NA
"31.12.2020","Total verimpfte Dosen","350",NA,NA,NA
"01.01.2021","Total verimpfte Dosen","350",NA,NA,NA
"02.01.2021","Total verimpfte Dosen","350",NA,NA,NA
"03.01.2021","Total verimpfte Dosen","350",NA,NA,NA
"04.01.2021","Total verimpfte Dosen","350",NA,NA,NA
"05.01.2021","Total verimpfte Dosen","350",NA,NA,NA
"06.01.2021","Total verimpfte Dosen","450",NA,NA,NA
"07.01.2021","Total verimpfte Dosen","555",NA,NA,NA
"08.01.2021","Total verimpfte Dosen","709",NA,NA,NA
"09.01.2021","Total verimpfte Dosen","709",NA,NA,NA
"10.01.2021","Total verimpfte Dosen","709",NA,NA,NA
"11.01.2021","Total verimpfte Dosen","757",NA,NA,NA
"12.01.2021","Total verimpfte Dosen","908",NA,NA,NA
"13.01.2021","Total verimpfte Dosen","1130",NA,NA,NA
"14.01.2021","Total verimpfte Dosen","1343",NA,NA,NA
"15.01.2021","Total verimpfte Dosen","1624",NA,NA,NA
"16.01.2021","Total verimpfte Dosen","1872",NA,NA,NA
"17.01.2021","Total verimpfte Dosen","2121",NA,NA,NA
"18.01.2021","Total verimpfte Dosen","2508",NA,NA,NA
"19.01.2021","Total verimpfte Dosen","3157",NA,NA,NA
"20.01.2021","Total verimpfte Dosen","3983",NA,NA,NA
"21.01.2021","Total verimpfte Dosen","4803",NA,NA,NA
"22.01.2021","Total verimpfte Dosen","5527",NA,NA,NA
"23.01.2021","Total verimpfte Dosen","6025",NA,NA,NA
"24.01.2021","Total verimpfte Dosen","6599",NA,NA,NA
"25.01.2021","Total verimpfte Dosen","6850",NA,NA,NA
"26.01.2021","Total verimpfte Dosen","7131",NA,NA,NA
"27.01.2021","Total verimpfte Dosen","7361",NA,NA,NA
"28.01.2021","Total verimpfte Dosen","7361",NA,NA,NA
"29.01.2021","Total verimpfte Dosen","7361",NA,NA,NA
"30.01.2021","Total verimpfte Dosen","7361",NA,NA,NA
"31.01.2021","Total verimpfte Dosen","7361",NA,NA,NA
"01.02.2021","Total verimpfte Dosen","7431",NA,NA,NA
"02.02.2021","Total verimpfte Dosen","7495",NA,NA,NA
"03.02.2021","Total verimpfte Dosen","7636",NA,NA,NA
"04.02.2021","Total verimpfte Dosen","7901",NA,NA,NA
"05.02.2021","Total verimpfte Dosen","8062",NA,NA,NA
"06.02.2021","Total verimpfte Dosen","8174",NA,NA,NA
"07.02.2021","Total verimpfte Dosen","8294",NA,NA,NA
"08.02.2021","Total verimpfte Dosen","8348",NA,NA,NA
"09.02.2021","Total verimpfte Dosen","8570",NA,NA,NA
"10.02.2021","Total verimpfte Dosen","8666",NA,NA,NA
"11.02.2021","Total verimpfte Dosen","8756",NA,NA,NA
"12.02.2021","Total verimpfte Dosen","9045",NA,NA,NA
"13.02.2021","Total verimpfte Dosen","9337",NA,NA,NA
"14.02.2021","Total verimpfte Dosen","9576",NA,NA,NA
"15.02.2021","Total verimpfte Dosen","9813",NA,NA,NA
"16.02.2021","Total verimpfte Dosen","10313",NA,NA,NA
"17.02.2021","Total verimpfte Dosen","11038",NA,NA,NA
