"Jahr","Hochschultyp","Anzahl","Meta","Type","Content"
"2019/20","Universitäre Hochschulen","1704",NA,NA,NA
"2018/19","Universitäre Hochschulen","1674",NA,NA,NA
"2017/18","Universitäre Hochschulen","1662",NA,NA,NA
"2016/17","Universitäre Hochschulen","1619",NA,NA,NA
"2015/16","Universitäre Hochschulen","1585",NA,NA,NA
"2014/15","Universitäre Hochschulen","1571",NA,NA,NA
"2013/14","Universitäre Hochschulen","1545",NA,NA,NA
"2012/13","Universitäre Hochschulen","1479",NA,NA,NA
"2011/12","Universitäre Hochschulen","1437",NA,NA,NA
"2010/11","Universitäre Hochschulen","1369",NA,NA,NA
"2009/10","Universitäre Hochschulen","1338",NA,NA,NA
"2008/09","Universitäre Hochschulen","1278",NA,NA,NA
"2007/08","Universitäre Hochschulen","1256",NA,NA,NA
"2006/07","Universitäre Hochschulen","1284",NA,NA,NA
"2005/06","Universitäre Hochschulen","1269",NA,NA,NA
"2004/05","Universitäre Hochschulen","1269",NA,NA,NA
"2003/04","Universitäre Hochschulen","1299",NA,NA,NA
"2002/03","Universitäre Hochschulen","1292",NA,NA,NA
"2001/02","Universitäre Hochschulen","1256",NA,NA,NA
"2000/01","Universitäre Hochschulen","1129",NA,NA,NA
"1999/00","Universitäre Hochschulen","1127",NA,NA,NA
"1998/99","Universitäre Hochschulen","1124",NA,NA,NA
"1997/98","Universitäre Hochschulen","1106",NA,NA,NA
"1996/97","Universitäre Hochschulen","1116",NA,NA,NA
"1995/96","Universitäre Hochschulen","1034",NA,NA,NA
"1994/95","Universitäre Hochschulen","1024",NA,NA,NA
"1993/94","Universitäre Hochschulen","1071",NA,NA,NA
"1992/93","Universitäre Hochschulen","1117",NA,NA,NA
"1991/92","Universitäre Hochschulen","1109",NA,NA,NA
"1990/91","Universitäre Hochschulen","1071",NA,NA,NA
"1989/90","Universitäre Hochschulen","1067",NA,NA,NA
"1988/89","Universitäre Hochschulen","1009",NA,NA,NA
"1987/88","Universitäre Hochschulen","965",NA,NA,NA
"1986/87","Universitäre Hochschulen","904",NA,NA,NA
"1985/86","Universitäre Hochschulen","927",NA,NA,NA
"1984/85","Universitäre Hochschulen","921",NA,NA,NA
"1983/84","Universitäre Hochschulen","819",NA,NA,NA
"1982/83","Universitäre Hochschulen","736",NA,NA,NA
