"Jahr","Diplomtyp","Anzahl","Meta","Type","Content"
"1999","Diplome der höheren Fachschulen","82",NA,NA,NA
"2000","Diplome der höheren Fachschulen","73",NA,NA,NA
"2001","Diplome der höheren Fachschulen","79",NA,NA,NA
"2002","Diplome der höheren Fachschulen","52",NA,NA,NA
"2003","Diplome der höheren Fachschulen","80",NA,NA,NA
"2004","Diplome der höheren Fachschulen","65",NA,NA,NA
"2005","Diplome der höheren Fachschulen","90",NA,NA,NA
"2006","Diplome der höheren Fachschulen","54",NA,NA,NA
"2007","Diplome der höheren Fachschulen","88",NA,NA,NA
"2008","Diplome der höheren Fachschulen","63",NA,NA,NA
"2009","Diplome der höheren Fachschulen","196",NA,NA,NA
"2010","Diplome der höheren Fachschulen","157",NA,NA,NA
"2011","Diplome der höheren Fachschulen","200",NA,NA,NA
"2012","Diplome der höheren Fachschulen","124",NA,NA,NA
"2013","Diplome der höheren Fachschulen","159",NA,NA,NA
"2014","Diplome der höheren Fachschulen","157",NA,NA,NA
"2015","Diplome der höheren Fachschulen","165",NA,NA,NA
"2016","Diplome der höheren Fachschulen","156",NA,NA,NA
"2017","Diplome der höheren Fachschulen","185",NA,NA,NA
"2018","Diplome der höheren Fachschulen","167",NA,NA,NA
"2019","Diplome der höheren Fachschulen","160",NA,NA,NA
"1999","Eidgenössische Diplome","76",NA,NA,NA
"2000","Eidgenössische Diplome","78",NA,NA,NA
"2001","Eidgenössische Diplome","63",NA,NA,NA
"2002","Eidgenössische Diplome","84",NA,NA,NA
"2003","Eidgenössische Diplome","84",NA,NA,NA
"2004","Eidgenössische Diplome","103",NA,NA,NA
"2005","Eidgenössische Diplome","79",NA,NA,NA
"2006","Eidgenössische Diplome","65",NA,NA,NA
"2007","Eidgenössische Diplome","66",NA,NA,NA
"2008","Eidgenössische Diplome","69",NA,NA,NA
"2009","Eidgenössische Diplome","49",NA,NA,NA
"2010","Eidgenössische Diplome","72",NA,NA,NA
"2011","Eidgenössische Diplome","75",NA,NA,NA
"2012","Eidgenössische Diplome","61",NA,NA,NA
"2013","Eidgenössische Diplome","71",NA,NA,NA
"2014","Eidgenössische Diplome","68",NA,NA,NA
"2015","Eidgenössische Diplome","48",NA,NA,NA
"2016","Eidgenössische Diplome","67",NA,NA,NA
"2017","Eidgenössische Diplome","71",NA,NA,NA
"2018","Eidgenössische Diplome","61",NA,NA,NA
"2019","Eidgenössische Diplome","53",NA,NA,NA
"1999","Eidgenössischer Fachausweis","206",NA,NA,NA
"2000","Eidgenössischer Fachausweis","228",NA,NA,NA
"2001","Eidgenössischer Fachausweis","211",NA,NA,NA
"2002","Eidgenössischer Fachausweis","208",NA,NA,NA
"2003","Eidgenössischer Fachausweis","273",NA,NA,NA
"2004","Eidgenössischer Fachausweis","247",NA,NA,NA
"2005","Eidgenössischer Fachausweis","235",NA,NA,NA
"2006","Eidgenössischer Fachausweis","196",NA,NA,NA
"2007","Eidgenössischer Fachausweis","222",NA,NA,NA
"2008","Eidgenössischer Fachausweis","209",NA,NA,NA
"2009","Eidgenössischer Fachausweis","210",NA,NA,NA
"2010","Eidgenössischer Fachausweis","235",NA,NA,NA
"2011","Eidgenössischer Fachausweis","210",NA,NA,NA
"2012","Eidgenössischer Fachausweis","238",NA,NA,NA
"2013","Eidgenössischer Fachausweis","265",NA,NA,NA
"2014","Eidgenössischer Fachausweis","245",NA,NA,NA
"2015","Eidgenössischer Fachausweis","288",NA,NA,NA
"2016","Eidgenössischer Fachausweis","253",NA,NA,NA
"2017","Eidgenössischer Fachausweis","224",NA,NA,NA
"2018","Eidgenössischer Fachausweis","254",NA,NA,NA
"2019","Eidgenössischer Fachausweis","216",NA,NA,NA
"1999","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","63",NA,NA,NA
"2000","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","21",NA,NA,NA
"2001","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","44",NA,NA,NA
"2002","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","15",NA,NA,NA
"2003","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","48",NA,NA,NA
"2004","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","136",NA,NA,NA
"2005","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","124",NA,NA,NA
"2006","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","129",NA,NA,NA
"2007","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","163",NA,NA,NA
"2008","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","130",NA,NA,NA
"2009","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","27",NA,NA,NA
"2010","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","19",NA,NA,NA
"2011","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","29",NA,NA,NA
"2012","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","7",NA,NA,NA
"2013","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","22",NA,NA,NA
"2014","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","13",NA,NA,NA
"2015","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","12",NA,NA,NA
"2016","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","0",NA,NA,NA
"2017","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","0",NA,NA,NA
"2018","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","0",NA,NA,NA
"2019","Diplome der nicht auf Bundesebene reglementierten höheren Berufsbildung","0",NA,NA,NA
NA,NA,NA,"1","datatypes","year,string,integer"
NA,NA,NA,"1","title","Entwicklung der höheren Berufsbildung: Bildungsabschlüsse"
NA,NA,NA,"1","subtitle","Kanton Zug, 1999 bis 2019"
NA,NA,NA,"1","description","Bei Diplomen der höheren Fachschulen und Diplomen der nicht auf Bundesebene reglementierten höheren Berufsbildung gilt das Schulstandortsprinzip, bei Eidgenössischen Diplomen und Eidgenössischen Fachausweisen gilt das Wohnortsprinzip."
NA,NA,NA,"1","source","Bundesamt für Statistik, Statistik der Bildungsabschlüsse"
