"Jahr","Szenario","Anzahl","Meta","Type","Content"
"2009","bisherige Entwicklung","2760",NA,NA,NA
"2010","bisherige Entwicklung","2897",NA,NA,NA
"2011","bisherige Entwicklung","2966",NA,NA,NA
"2012","bisherige Entwicklung","3004",NA,NA,NA
"2013","bisherige Entwicklung","2929",NA,NA,NA
"2014","bisherige Entwicklung","2904",NA,NA,NA
"2015","bisherige Entwicklung","2939",NA,NA,NA
"2016","bisherige Entwicklung","2965",NA,NA,NA
"2017","bisherige Entwicklung","2927",NA,NA,NA
"2018","bisherige Entwicklung","2861",NA,NA,NA
"2019","Referenzszenario","2843",NA,NA,NA
"2020","Referenzszenario","2856",NA,NA,NA
"2021","Referenzszenario","2851",NA,NA,NA
"2022","Referenzszenario","2905",NA,NA,NA
"2023","Referenzszenario","2953",NA,NA,NA
"2024","Referenzszenario","2992",NA,NA,NA
"2025","Referenzszenario","3048",NA,NA,NA
"2026","Referenzszenario","3095",NA,NA,NA
"2027","Referenzszenario","3124",NA,NA,NA
"2028","Referenzszenario","3151",NA,NA,NA
"2029","Referenzszenario","3180",NA,NA,NA
"2019","'hohes' Szenario","2857",NA,NA,NA
"2020","'hohes' Szenario","2894",NA,NA,NA
"2021","'hohes' Szenario","2918",NA,NA,NA
"2022","'hohes' Szenario","3003",NA,NA,NA
"2023","'hohes' Szenario","3080",NA,NA,NA
"2024","'hohes' Szenario","3149",NA,NA,NA
"2025","'hohes' Szenario","3237",NA,NA,NA
"2026","'hohes' Szenario","3317",NA,NA,NA
"2027","'hohes' Szenario","3378",NA,NA,NA
"2028","'hohes' Szenario","3437",NA,NA,NA
"2029","'hohes' Szenario","3499",NA,NA,NA
"2019","'tiefes' Szenario","2828",NA,NA,NA
"2020","'tiefes' Szenario","2819",NA,NA,NA
"2021","'tiefes' Szenario","2784",NA,NA,NA
"2022","'tiefes' Szenario","2807",NA,NA,NA
"2023","'tiefes' Szenario","2825",NA,NA,NA
"2024","'tiefes' Szenario","2834",NA,NA,NA
"2025","'tiefes' Szenario","2858",NA,NA,NA
"2026","'tiefes' Szenario","2873",NA,NA,NA
"2027","'tiefes' Szenario","2870",NA,NA,NA
"2028","'tiefes' Szenario","2865",NA,NA,NA
"2029","'tiefes' Szenario","2861",NA,NA,NA
NA,NA,NA,"1","datatypes","year,string,integer"
NA,NA,NA,"1","title","Szenarien für die Entwicklung der Anzahl Lernenden in beruflicher Grundbildung"
NA,NA,NA,"1","subtitle","Für die Jahre 2009-2029"
NA,NA,NA,"1","description","Das Referenzszenario spiegelt die erwarteten Entwicklungen der nächsten Jahre, also hauptsächlich die verschiedenen kantonalen demografischen Dynamiken wider. Das «hohe» Szenario beruht auf einer Kombination von Hypothesen, die das Wachstum der Anzahl Lernenden begünstigen, während das «tiefe» Szenario Hypothesen kombiniert, die dem Wachstum der Anzahl Lernenden weniger förderlich sind."
NA,NA,NA,"1","source","Bundesamt für Statistik, Bildungsperspektiven"
