Gemeinde,Fläche in ha,Höhenlage in Meter über Meer,Homepage
Baar,2478,444,http://www.baar.ch/
Cham,1776,418,http://www.cham.ch/
Hünenberg,1841,451,http://www.huenenberg.ch/
Menzingen,2747,807,http://www.menzingen.ch/
Neuheim,794,666,http://www.neuheim.ch/
Oberägeri,3007,737,http://www.oberaegeri.ch/
Risch,1484,417,http://www.risch-rotkreuz.ch/
Steinhausen,504,424,http://www.steinhausen.ch/
Unterägeri,2556,729,http://www.unteraegeri.ch
Walchwil,1353,449,http://www.walchwil.ch
Zug,2165,425,http://www.stadtzug.ch/
