Wohnkanton,Wohnkanton Kürzel,Wohngemeindenummer,Wohngemeinde,Arbeitskanton,Arbeitskanton Kürzel,Arbeitsgemeindenummer,Arbeitsgemeinde,Erwerbstätige
9,ZG,1701,Baar,1,ZH,1,Aeugst am Albis,5
9,ZG,1701,Baar,1,ZH,2,Affoltern am Albis,79
9,ZG,1701,Baar,1,ZH,4,Hausen am Albis,26
9,ZG,1701,Baar,1,ZH,5,Hedingen,8
9,ZG,1701,Baar,1,ZH,6,Kappel am Albis,8
9,ZG,1701,Baar,1,ZH,7,Knonau,9
9,ZG,1701,Baar,1,ZH,9,Mettmenstetten,26
9,ZG,1701,Baar,1,ZH,10,Obfelden,5
9,ZG,1701,Baar,1,ZH,12,Rifferswil,5
9,ZG,1701,Baar,1,ZH,62,Kloten,61
9,ZG,1701,Baar,1,ZH,66,Opfikon,24
9,ZG,1701,Baar,1,ZH,69,Wallisellen,37
9,ZG,1701,Baar,1,ZH,94,Otelfingen,5
9,ZG,1701,Baar,1,ZH,96,Regensdorf,8
9,ZG,1701,Baar,1,ZH,121,Wetzikon (ZH),5
9,ZG,1701,Baar,1,ZH,131,Adliswil,37
9,ZG,1701,Baar,1,ZH,132,Hirzel,11
9,ZG,1701,Baar,1,ZH,133,Horgen,217
9,ZG,1701,Baar,1,ZH,135,Kilchberg (ZH),18
9,ZG,1701,Baar,1,ZH,136,Langnau am Albis,8
9,ZG,1701,Baar,1,ZH,138,Richterswil,6
9,ZG,1701,Baar,1,ZH,139,Rüschlikon,6
9,ZG,1701,Baar,1,ZH,141,Thalwil,40
9,ZG,1701,Baar,1,ZH,142,Wädenswil,30
9,ZG,1701,Baar,1,ZH,154,Küsnacht (ZH),7
9,ZG,1701,Baar,1,ZH,158,Stäfa,9
9,ZG,1701,Baar,1,ZH,161,Zollikon,7
9,ZG,1701,Baar,1,ZH,174,Illnau-Effretikon,5
9,ZG,1701,Baar,1,ZH,191,Dübendorf,26
9,ZG,1701,Baar,1,ZH,199,Volketswil,8
9,ZG,1701,Baar,1,ZH,200,Wangen-Brüttisellen,12
9,ZG,1701,Baar,1,ZH,230,Winterthur,13
9,ZG,1701,Baar,1,ZH,242,Birmensdorf (ZH),14
9,ZG,1701,Baar,1,ZH,243,Dietikon,28
9,ZG,1701,Baar,1,ZH,244,Geroldswil,5
9,ZG,1701,Baar,1,ZH,247,Schlieren,38
9,ZG,1701,Baar,1,ZH,250,Urdorf,19
9,ZG,1701,Baar,1,ZH,261,Zürich,1160
9,ZG,1701,Baar,1,ZH,7777,Andere Gemeinden,69
9,ZG,1701,Baar,2,BE,351,Bern,22
9,ZG,1701,Baar,2,BE,7777,Andere Gemeinden,37
9,ZG,1701,Baar,3,LU,1024,Emmen,61
9,ZG,1701,Baar,3,LU,1031,Hochdorf,11
9,ZG,1701,Baar,3,LU,1040,Rothenburg,13
9,ZG,1701,Baar,3,LU,1052,Buchrain,6
9,ZG,1701,Baar,3,LU,1053,Dierikon,11
9,ZG,1701,Baar,3,LU,1054,Ebikon,52
9,ZG,1701,Baar,3,LU,1055,Gisikon,9
9,ZG,1701,Baar,3,LU,1058,Horw,9
9,ZG,1701,Baar,3,LU,1059,Kriens,35
9,ZG,1701,Baar,3,LU,1061,Luzern,302
9,ZG,1701,Baar,3,LU,1065,Root,47
9,ZG,1701,Baar,3,LU,7777,Andere Gemeinden,79
9,ZG,1701,Baar,4,UR,7777,Andere Gemeinden,9
9,ZG,1701,Baar,5,SZ,1301,Einsiedeln,8
9,ZG,1701,Baar,5,SZ,1321,Feusisberg,6
9,ZG,1701,Baar,5,SZ,1322,Freienbach,26
9,ZG,1701,Baar,5,SZ,1323,Wollerau,14
9,ZG,1701,Baar,5,SZ,1331,Küssnacht (SZ),74
9,ZG,1701,Baar,5,SZ,1341,Altendorf,14
9,ZG,1701,Baar,5,SZ,1344,Lachen,8
9,ZG,1701,Baar,5,SZ,1362,Arth,13
9,ZG,1701,Baar,5,SZ,1364,Ingenbohl,12
9,ZG,1701,Baar,5,SZ,1372,Schwyz,48
9,ZG,1701,Baar,5,SZ,1373,Steinen,5
9,ZG,1701,Baar,5,SZ,7777,Andere Gemeinden,10
9,ZG,1701,Baar,6,OW,1406,Sachseln,6
9,ZG,1701,Baar,6,OW,1407,Sarnen,11
