"Typ","Datum","Anzahl","Meta","Type","Content"
"Erkrankte ohne Hospitalisierung","01.03.2020","0",NA,NA,NA
"Erkrankte ohne Hospitalisierung","02.03.2020","0",NA,NA,NA
"Erkrankte ohne Hospitalisierung","03.03.2020","1",NA,NA,NA
"Erkrankte ohne Hospitalisierung","04.03.2020","1",NA,NA,NA
"Erkrankte ohne Hospitalisierung","05.03.2020","2",NA,NA,NA
"Erkrankte ohne Hospitalisierung","06.03.2020","3",NA,NA,NA
"Erkrankte ohne Hospitalisierung","07.03.2020","3",NA,NA,NA
"Erkrankte ohne Hospitalisierung","08.03.2020","3",NA,NA,NA
"Erkrankte ohne Hospitalisierung","09.03.2020","10",NA,NA,NA
"Erkrankte ohne Hospitalisierung","10.03.2020","10",NA,NA,NA
"Erkrankte ohne Hospitalisierung","11.03.2020","11",NA,NA,NA
"Erkrankte ohne Hospitalisierung","12.03.2020","11",NA,NA,NA
"Erkrankte ohne Hospitalisierung","13.03.2020","11",NA,NA,NA
"Erkrankte ohne Hospitalisierung","14.03.2020","13",NA,NA,NA
"Erkrankte ohne Hospitalisierung","15.03.2020","13",NA,NA,NA
"Erkrankte ohne Hospitalisierung","16.03.2020","20",NA,NA,NA
"Erkrankte ohne Hospitalisierung","17.03.2020","29",NA,NA,NA
"Erkrankte ohne Hospitalisierung","18.03.2020","33",NA,NA,NA
"Erkrankte ohne Hospitalisierung","19.03.2020","36",NA,NA,NA
"Erkrankte ohne Hospitalisierung","20.03.2020","47",NA,NA,NA
"Erkrankte ohne Hospitalisierung","21.03.2020","50",NA,NA,NA
"Erkrankte ohne Hospitalisierung","22.03.2020","50",NA,NA,NA
"Erkrankte ohne Hospitalisierung","23.03.2020","50",NA,NA,NA
"Erkrankte ohne Hospitalisierung","24.03.2020","66",NA,NA,NA
"Erkrankte ohne Hospitalisierung","25.03.2020","71",NA,NA,NA
"Erkrankte ohne Hospitalisierung","26.03.2020","77",NA,NA,NA
"Erkrankte ohne Hospitalisierung","27.03.2020","82",NA,NA,NA
"Erkrankte ohne Hospitalisierung","28.03.2020","88",NA,NA,NA
"Erkrankte ohne Hospitalisierung","29.03.2020","88",NA,NA,NA
"Erkrankte ohne Hospitalisierung","30.03.2020","98",NA,NA,NA
"Erkrankte ohne Hospitalisierung","31.03.2020","99",NA,NA,NA
"Erkrankte ohne Hospitalisierung","01.04.2020","111",NA,NA,NA
"Erkrankte ohne Hospitalisierung","02.04.2020","116",NA,NA,NA
"Erkrankte ohne Hospitalisierung","03.04.2020","122",NA,NA,NA
"Erkrankte ohne Hospitalisierung","04.04.2020","130",NA,NA,NA
"Erkrankte ohne Hospitalisierung","05.04.2020","130",NA,NA,NA
"Erkrankte ohne Hospitalisierung","06.04.2020","135",NA,NA,NA
"Erkrankte ohne Hospitalisierung","07.04.2020","139",NA,NA,NA
"Erkrankte ohne Hospitalisierung","08.04.2020","147",NA,NA,NA
"Erkrankte ohne Hospitalisierung","09.04.2020","149",NA,NA,NA
"Erkrankte ohne Hospitalisierung","10.04.2020","150",NA,NA,NA
"Erkrankte ohne Hospitalisierung","11.04.2020","150",NA,NA,NA
"Erkrankte ohne Hospitalisierung","12.04.2020","150",NA,NA,NA
"Erkrankte ohne Hospitalisierung","13.04.2020","152",NA,NA,NA
"Erkrankte ohne Hospitalisierung","14.04.2020","153",NA,NA,NA
"Erkrankte ohne Hospitalisierung","15.04.2020","153",NA,NA,NA
"Erkrankte ohne Hospitalisierung","16.04.2020","156",NA,NA,NA
"Erkrankte ohne Hospitalisierung","17.04.2020","158",NA,NA,NA
"Erkrankte ohne Hospitalisierung","18.04.2020","161",NA,NA,NA
"Erkrankte ohne Hospitalisierung","19.04.2020","157",NA,NA,NA
"Erkrankte ohne Hospitalisierung","20.04.2020","157",NA,NA,NA
"Erkrankte ohne Hospitalisierung","21.04.2020","159",NA,NA,NA
"Erkrankte ohne Hospitalisierung","22.04.2020","162",NA,NA,NA
"Erkrankte ohne Hospitalisierung","23.04.2020","164",NA,NA,NA
"Erkrankte ohne Hospitalisierung","24.04.2020","166",NA,NA,NA
"Hospitalisierte","01.03.2020","0",NA,NA,NA
"Hospitalisierte","02.03.2020","0",NA,NA,NA
"Hospitalisierte","03.03.2020","0",NA,NA,NA
"Hospitalisierte","04.03.2020","0",NA,NA,NA
"Hospitalisierte","05.03.2020","0",NA,NA,NA
"Hospitalisierte","06.03.2020","0",NA,NA,NA
"Hospitalisierte","07.03.2020","0",NA,NA,NA
"Hospitalisierte","08.03.2020","0",NA,NA,NA
"Hospitalisierte","09.03.2020","0",NA,NA,NA
"Hospitalisierte","10.03.2020","0",NA,NA,NA
"Hospitalisierte","11.03.2020","0",NA,NA,NA
"Hospitalisierte","12.03.2020","0",NA,NA,NA
"Hospitalisierte","13.03.2020","0",NA,NA,NA
"Hospitalisierte","14.03.2020","0",NA,NA,NA
"Hospitalisierte","15.03.2020","0",NA,NA,NA
"Hospitalisierte","16.03.2020","0",NA,NA,NA
"Hospitalisierte","17.03.2020","0",NA,NA,NA
"Hospitalisierte","18.03.2020","0",NA,NA,NA
"Hospitalisierte","19.03.2020","1",NA,NA,NA
"Hospitalisierte","20.03.2020","1",NA,NA,NA
"Hospitalisierte","21.03.2020","3",NA,NA,NA
"Hospitalisierte","22.03.2020","3",NA,NA,NA
"Hospitalisierte","23.03.2020","3",NA,NA,NA
"Hospitalisierte","24.03.2020","6",NA,NA,NA
"Hospitalisierte","25.03.2020","8",NA,NA,NA
"Hospitalisierte","26.03.2020","9",NA,NA,NA
"Hospitalisierte","27.03.2020","7",NA,NA,NA
"Hospitalisierte","28.03.2020","7",NA,NA,NA
"Hospitalisierte","29.03.2020","7",NA,NA,NA
"Hospitalisierte","30.03.2020","8",NA,NA,NA
"Hospitalisierte","31.03.2020","8",NA,NA,NA
"Hospitalisierte","01.04.2020","8",NA,NA,NA
"Hospitalisierte","02.04.2020","9",NA,NA,NA
"Hospitalisierte","03.04.2020","8",NA,NA,NA
