Gemeinde,Zone,Fläche,Meta,Type,Content
Baar,Wohnzonen,208.695674,,,
Cham,Wohnzonen,126.244584,,,
Hünenberg,Wohnzonen,110.780383,,,
Menzingen,Wohnzonen,40.69098,,,
Neuheim,Wohnzonen,23.434814,,,
Oberägeri,Wohnzonen,87.09017,,,
Risch,Wohnzonen,83.939407,,,
Steinhausen,Wohnzonen,94.874847,,,
Unterägeri,Wohnzonen,116.035469,,,
Walchwil,Wohnzonen,64.078769,,,
Zug,Wohnzonen,234.048537,,,
Baar,Mischzonen,51.532919,,,
Cham,Mischzonen,43.041106,,,
Hünenberg,Mischzonen,2.686796,,,
Menzingen,Mischzonen,10.590248,,,
Neuheim,Mischzonen,8.45177,,,
Oberägeri,Mischzonen,3.704444,,,
Risch,Mischzonen,25.876753,,,
Steinhausen,Mischzonen,10.813546,,,
Unterägeri,Mischzonen,6.134915,,,
Walchwil,Mischzonen,7.786862,,,
Zug,Mischzonen,78.988859,,,
Baar,Kernzonen,23.263116,,,
Cham,Kernzonen,11.16756,,,
Hünenberg,Kernzonen,9.213599,,,
Menzingen,Kernzonen,4.849188,,,
Neuheim,Kernzonen,2.276006,,,
Oberägeri,Kernzonen,10.161429,,,
Risch,Kernzonen,12.107711,,,
Steinhausen,Kernzonen,12.702003,,,
Unterägeri,Kernzonen,12.7652,,,
Walchwil,Kernzonen,3.161212,,,
Zug,Kernzonen,40.436999,,,
Baar,Arbeitszonen,81.084341,,,
Cham,Arbeitszonen,35.106845,,,
Hünenberg,Arbeitszonen,31.150869,,,
Menzingen,Arbeitszonen,2.051695,,,
Neuheim,Arbeitszonen,9.576232,,,
Oberägeri,Arbeitszonen,3.999644,,,
Risch,Arbeitszonen,51.556497,,,
Steinhausen,Arbeitszonen,60.439539,,,
Unterägeri,Arbeitszonen,8.938979,,,
Walchwil,Arbeitszonen,0,,,
Zug,Arbeitszonen,4.263485,,,
Baar,Öffentliche Bauten und Anlagen (OeIB),43.987877,,,
Cham,Öffentliche Bauten und Anlagen (OeIB),42.902079,,,
Hünenberg,Öffentliche Bauten und Anlagen (OeIB),24.411515,,,
Menzingen,Öffentliche Bauten und Anlagen (OeIB),14.187254,,,
Neuheim,Öffentliche Bauten und Anlagen (OeIB),8.139688,,,
Oberägeri,Öffentliche Bauten und Anlagen (OeIB),12.994038,,,
Risch,Öffentliche Bauten und Anlagen (OeIB),29.372433,,,
Steinhausen,Öffentliche Bauten und Anlagen (OeIB),17.910228,,,
Unterägeri,Öffentliche Bauten und Anlagen (OeIB),20.087637,,,
Walchwil,Öffentliche Bauten und Anlagen (OeIB),5.234393,,,
Zug,Öffentliche Bauten und Anlagen (OeIB),88.76399,,,
Baar,"Bauzonen mit besonderen Vorschriften, weitere Zonen",6.841446,,,
Cham,"Bauzonen mit besonderen Vorschriften, weitere Zonen",18.819067,,,
Hünenberg,"Bauzonen mit besonderen Vorschriften, weitere Zonen",4.77547,,,
Menzingen,"Bauzonen mit besonderen Vorschriften, weitere Zonen",1.855483,,,
Neuheim,"Bauzonen mit besonderen Vorschriften, weitere Zonen",0.198201,,,
Oberägeri,"Bauzonen mit besonderen Vorschriften, weitere Zonen",3.697781,,,
Risch,"Bauzonen mit besonderen Vorschriften, weitere Zonen",30.626844,,,
Steinhausen,"Bauzonen mit besonderen Vorschriften, weitere Zonen",0,,,
Unterägeri,"Bauzonen mit besonderen Vorschriften, weitere Zonen",0,,,
Walchwil,"Bauzonen mit besonderen Vorschriften, weitere Zonen",2.721607,,,
Zug,"Bauzonen mit besonderen Vorschriften, weitere Zonen",34.343586,,,
,,,1,year,2016
